Type of race,State,FIPS Code,State code,PVI,Incumbent/ Incumbent Party Candidate,Incombant Gun Control Stance (Voted For),Incombant Gun Control Stance (Voted Against),Opponant,Opponant Gun Control Stance,Most recent result,Cook,IE,Sabato,NYT,CNN,RCP
Senator,Arizona,NaN,04,R+5,TBA,TBA,,,,49% R,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup
Senator,California,NaN,06,D+12,Dianne Feinstein (D),"MENTAL HEALTH
2017
FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013
GUN SHOW LOOPHOLE
1999
ASSAULT WEAPONS BAN
1994
BRADY BILL
1993",NaN,  ,,63% D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
Senator,Connecticut,NaN,09,D+6,Chris Murphy (D),"MENTAL HEALTH
2017
FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013",NaN,,,55% D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
Senator,Delaware,NaN,10,D+6,Tom Carper (D),"MENTAL HEALTH
2017
FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013
PLCAA
2005",,,,66% D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
Senator,Florida,NaN,12,R+2,Bill Nelson (D),"MENTAL HEALTH
2017
FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013",PLCAA 2005,,,55% D,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup
Senator,Hawaii,NaN,15,D+18,Mazie Hirono (D),"MENTAL HEALTH
2017
FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013",,,,63% D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
Senator,Indiana,NaN,18,R+9,Joe Donnelly (D),"FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015","MENTAL HEALTH 
2017
CONCEALED-CARRY RECIPROCITY
2013",,,50% D,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup
Senator,Maine,NaN,23,D+3,Angus King (I),"FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013
","MENTAL HEALTH 
2017",,,53% I,Safe D/I,Safe D/I,Safe D/I,Safe D/I,Likely D/I,Safe D/I
Senator,Maryland,NaN,24,D+12,Ben Cardin (D),"MENTAL HEALTH
2017
FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013
PLCAA
2005
ASSAULT WEAPONS BAN
1994
BRADY BILL
1993",,,,55% D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
Senator,Massachusetts,NaN,25,D+12,Elizabeth Warren (D),"MENTAL HEALTH
2017
FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013",,,,54% D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
Senator,Michigan,NaN,26,D+1,Debbie Stabenow (D),"MENTAL HEALTH
2017
FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013
PLCAA
2005",,,,59% D,Likely D,Safe D,Likely D,Likely D,Likely D,Likely D
Senator,Minnesota,NaN,27,D+1,Amy Klobuchar (D),"MENTAL HEALTH
2017
FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013",,,,65% D,Safe D,Safe D,Safe D,Safe D,Safe D,Safe D
Senator,"Minnesota
(Special)",NaN,27,D+1,Tina Smith (D),NaN,,,,53% D,Lean D,Likely D,Likely D,Likely D,Likely D,Likely D
Senator,Mississippi,NaN,28,R+9,Roger Wicker (R),,"MENTAL HEALTH
2017
FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013
PLCAA
2005",,,57% R,Safe R,Safe R,Safe R,Safe R,Safe R,Safe R
Senator,"Mississippi
(Special)",NaN,28,R+9,Cindy Hyde-Smith (R),,NaN,,,60% R,Likely R,Safe R,Likely R,Likely R,Safe R,Likely R
Senator,Missouri,NaN,29,R+9,Claire McCaskill (D),"MENTAL HEALTH
2017
FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013",,,,55% D,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup
Senator,Montana,NaN,30,R+11,Jon Tester (D),"FEINSTEIN ""TERROR GAP""
2016
MANCHIN
2015","MENTAL HEALTH 
2017
MURPHY BACKGROUND CHECKS
2016
CONCEALED-CARRY RECIPROCITY
2013",,,49% D,Likely D,Tilt D,Lean D,Lean D,Lean D,Lean D
Senator,Nebraska,NaN,31,R+14,Deb Fischer (R),,"MENTAL HEALTH
2017
FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013",,,56% R,Likely R,Safe R,Safe R,Safe R,Safe R,Safe R
Senator,Nevada,NaN,32,D+1,Dean Heller (R),,"MENTAL HEALTH
2017
FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013",,,46% R,Tossup,Tossup,Tossup,Tossup,Tossup,Tossup
Senator,New Jersey,NaN,34,D+7,Bob Menendez (D),"MENTAL HEALTH
2017
FEINSTEIN ""TERROR GAP""
2016
MURPHY BACKGROUND CHECKS
2016
MANCHIN
2015
CONCEALED-CARRY RECIPROCITY
2013
PLCAA
2005
ASSAULT WEAPONS BAN
1994
BRADY BILL
1993",,,,59% D,Likely D,Safe D,Likely D,Likely D,Safe D,Likely D
