,Article,Date,Title,Sentiment Scores,Title Sentiment,Prediction,Prob Prediction
0,"A primer for Indiana students organizing or participating in March For Our Lives on March 24:Don’t let anyone tell you that it isn’t the laws that are the problem and that AR-15-style weapons are protected by the Second Amendment. Six states and the District of Columbia have banned these weapons. The Supreme Court recently rejected a challenge to a ban on weapons, leaving in place the lower court’s decision that such a ban is permissible under the Second Amendment.Laws that provide legal access to firearms by individuals under age 21 increase the risk of school shootings. Most school shootings involve a student at the school or a former student.Federal law only requires a background check by a federally licensed firearm dealer. An individual who has been declined can purchase the firearm from a private seller at a gun show in Indiana. Private sellers in Indiana legally sell all types of firearms, including AR-15s, to individuals age 18 and over without a background check. Studies show that states with the weakest gun laws have the highest rate of gun deaths.— Ed Smith, president of the Hoosiers Concerned About Gun Violence nonprofit organization",N/A,"

            
            Letter to the Editor: Arguing for gun control
        
",-0.4502,-0.6597,0,0.6156798328624389
1,"Local Region students participated in another national school walkout on Friday, April 20, the anniversary of the Columbine shooting.Photos by John J. Watkins, staff photographer, Kale Wilk, digital producer and Stan Maddux, Times correspondent.Portage Township Schools will no longer have full-time Portage police officers serving as school resource officers.",N/A,"

            
            Gallery: National School Walkout in Northwest Indiana on anniversary of Columbine shooting
        
",-0.5423,-0.3182,0,0.6156798328624389
2,"Last night a farmer, a carpenter, a machinist, and a veteran faced off in a Democratic debate at Purdue University that was hosted by the Purdue College Democrats. The candidates are running for the democratic party in Indiana's 4th Congressional District which Tippecanoe county is a part of. The candidates each got to answer a variety of questions pertaining to both hot topic issues and those that affect this district.The debate started with each candidate giving their opening statements, followed by a lightning round of questions, and ending on longer response questions and closing statements. The candidates all seemed to agree on most of the issues brought up in the debate, such as, wanting universal healthcare, raising the minimum wage, enacting common sense gun laws, and working to get high speed internet in the rural areas that need them. At the end of the event the candidates stayed after to talk and answer questions from members of the community. For details on the debate and how each of the candidates answered the questions stay tuned for Thursday's edition of the paper. ",N/A,"

            
            Democratic House Candidates debate healthcare, jobs, etc.
        
",0.128,0.0,0,0.6156798328624389
3,"The only schools in Montana with a gun-carrying educator are small and remote. But recent school shootings have larger and less-isolated schools looking at putting a gun in their buildings. Elder Grove and Shepherd schools are exploring policies to implement a Montana law that allows trustees to arm anyone — a teacher, administrator, or community member.The two districts, while still considered small and rural in a national scope, have much larger enrollments that other Montana schools that have armed staffers. And while the districts are in rural areas, they're both within 15 minutes of Billings.“I guess the board feels it's important,"" said Elder Grove superintendent Justin Klebe. ""I just have some teachers, I think all of us in some ways, looking at how to keep kids safe.”School shootings in Parkland, Florida, and Santa Fe, Texas, placed a magnifying glass on student safety, and the idea of arming teachers — which long circulated on the fringes of mainstream education policy — received a major boost from President Donald Trump. Montana's senators and congressman cautious on arming teachers as Trump pushes ideaOthers have pushed back; the lion's share of testimony at a recent meeting of a federal school safety panel advocated for providing more mental health resources and reforming school discipline practices — and not arming teachers. Several national organizations that represent schools, teachers and administrators have opposed arming teachers. Virtually no academic research provides evidence that arming teachers stops or prevents shootings, but a national study of mass shootings highlighted how response times from police are often too late to prevent carnage. Montana, a state with strong general support for firearms, has a law that for years has allowed schools to choose to put a gun on campus. But very few schools have armed a staffer; a Gazette review of public records from every school district in the state last spring showed that only Lima, Belfry and Custer have an armed staffer. A handful of other schools approved a staffer to carry a weapon, but that staffer declined. While Montana school boards can put guns in schools, very few choose to arm educatorsThat data could have changed in the year since the analysis was conducted, and discussions at Shepherd and Elder Grove could indicate increased interest in the topic among schools. Last week Shepherd trustees unanimously passed the first reading of a policy that lays out framework for a staffer who wants to carry a weapon. It doesn't authorize a specific person to carry a weapon, and future approval would be public. Educators would volunteer to carry a weapon; they wouldn't be allowed to store it on school grounds. “We’d rather be proactive than reactive,” said Shepherd superintendent Scott Carter.Both Shepherd and Elder Grove have borrowed heavily from the method Custer schools took to arming a staffer. For several months in 2013 and 2014, a Custer safety committee made up of law enforcement, trustees and educators examined types of weapons, bullets, training, background checks and police coordination. A pair of public meetings were held discussing the proposal, and letters were mailed out to district parents. Trustees unanimously approved a proposal requiring a psychological review, firearms training and background checks to carry in school.Shepherd's policy also follows a Custer policy that keeps the name of armed staffers private. The Gazette maintains the information is public under the statute that allows school boards to put guns in school, but has not formally challenged the policy, nor identified armed staffers in districts that did provide the name as part of the public record. Elder Grove has yet to introduce any sort of formal proposal, and Klebe emphasized talks are in early stages. The district conducted a parent survey, but Klebe said only about 50 out of 300 households responded. He said trustees had specifically expressed concerns about police response times; just West of Billings, Klebe estimated it could take about 10 minutes for an officer to reach the school in an emergency. “If we do go down that road, we’d have a committee that would come up with the procedures and expectations of everybody,” he said. “It wouldn’t be just arming teachers and anyone could carry.”Part of the reason for interest at Elder Grove, Kelbe said, was the recent removal of a school resource officer. Yellowstone County Sheriff Mike Linder confirmed that a shared school officer was put back on regular duty in 2016. The officer had also worked with other schools surrounding Billings. The Sheriff's Department still has two SROs, one who splits time between Shepherd and Custer and one who splits time between Lockwood and Huntley Project.“We needed the deputy back on the streets,” Linder said. ""That one made the most sense.""Carter said he's glad Shepherd has an SRO, but between duties at Custer, training and travel time, there are gaps. “At times there’s no one available,” he said.Carter, too, brought up response times as a concern. Billings Public Schools, a system that dwarfs other schools in the county, had seven SROs on staff this school year. In March, the district announced plans to hire another SRO to float between elementary schools. Billings schools pay for up-front costs like a vehicle and weapons for an officer who is supplied by the Billings Police Department, and the district pays the officer's salary and benefits. Linder said the sheriff's department isn't reimbursed for its SROs. “All the schools want SROs,"" Linder said. ""We just don’t have the manpower for it.”Montana has no statewide accounting of school resource officers, but small districts typically struggle to fund such a position. Elder Grove also doesn't have the money to pick up costs like salary, Klebe said. “That would be an increase to the budget, anywhere from $40,000 to $60,000,” he said. “We don’t have that left over in the budget.”Having nearby police isn't a guarantee schools won't look at arming educators. School trustees in Cody, Wyoming, operating under a new law that's more broad than Montana's, voted to allow educators with a concealed carry permit and who undergo additional training to carry guns in schools in April. The town of nearly 10,000 has its own police force, including a school resource officer who is assigned to five different schools. Among trustees' rational for arming teachers? Response times.Craig McKinney, a middle school teacher who leads Shepherd's local union, spoke against the policy at the June 13 meeting. School safety goes far beyond arming educators“I don’t disagree with the fact that basically we’re a rural school ... with response times out there, it would be too late,” he said in a later interview. “I understand where the board’s coming from. I just don’t think adding more firepower to schools is the answer.”McKinney said that's his personal view as a teacher and someone who's ""just not a gun person,"" not a union stance. “We have teachers that are for it, we have teachers that are against it,” he said. He had concerns about a specific provision in the policy that reads, ""in the event of an active shooter, the authorized staff will actively engage the shooter.""“What if the teacher doesn’t engage,"" or does shoot and hits someone else, McKinney said.He also was worried allowing one or more staffers to carry a gun would provide a false sense of security. “There’s no guarantees. I think it just makes people maybe feel safer,” he said. “I believe that there would be people that don’t feel any safer because now you’ve added more guns into the school.”He cited Shepherd's sprawling campus layout and multiple entry points as problematic, even with armed staffers. He said infrastructure improvements would be a better way to focus on security. Shepherd's policy doesn't refute that point. It lists the following among ""Factors and Rationale For The Armed Staff Program:""""Our facilities themselves are not up to standards when it comes to state of the art security measures, and bringing them up to that standard can be cost prohibitive.""Montana is applying for money from a new school safety grant program that would bolster mental health training for teachers and support programs already in schools, but there's no guarantee the state gets money out of a highly competitive application process. Another round of grants from the same program could provide money for safety-related infrastructure improvements, but it's unclear if the state will apply, and competition would still be steep.School funding for infrastructure or safety at the state level has been a tough sell. Schools can impose an automatic levy on local taxpayers to raise some money for infrastructure improvements, and a proposal that could make its way to next spring's legislature would clarify that such money can be used for safety upgrades. But having to choose between fixing a heat pump and building an entrance vestibule to control visitor access isn't a good choice, Carter said. ""We can use all of that money just maintaining our buildings,"" he said. ""The pot gets real small real quick.""Carter also said Shepherd works to provide mental health support to students. However, cuts in state aid to organizations that often are contracted to work in schools resulted in fewer specialized staff in schools across the state. Retiring Billings Superintendent Terry Bouck, who has advocated for adding SROs over arming educators, emphasized the importance of such programs in a newsletter emailed to subscribers districtwide after the Santa Fe shooting that called for governments to ""restore and continue mental health funding for our schools and communities.""In the same newsletter, Bouck called for increased infrastructure funding to address security needs. One topic that history says legislators will address in next spring's session? A gun-related school bill.In each of Montana's past four legislative sessions, there’s been a bill addressing the presence of guns in schools, ranging from opening up carry to anyone with a concealed permit to easing student penalties for having fake guns on school grounds.In 2017, a bill from Rep. Seth Berglee, a Joliet Republican, would have allowed school employees who meet certain requirements to carry concealed weapons on school property.Enrollment keeps rising in this Billings K-8 school district — much faster than expectedAmid that climate, Klebe hoped that legislators wouldn't loose sight of overall school funding. A budget crunch last cycle resulted in a variety of school funding cuts, including a move that forced local property taxpayers to pick up a bill for their schools worth $40 million over two years. Elder Grove already has a low percentage of voted local levies. State law requires schools to meet a minimum budget, which includes automatic local taxes. But voted taxes can bump budgets up about 20 percent. Elder Grove did recently pass a $14.9 million bond in December for a major building project. “It’s increasingly becoming harder for us to keep up with the area schools due to our budget constraints, then you put this on top of it,” Klebe said. “As far as trying to scratch out $40,000 to $60,000 for a resource officer, when we are already spending as conservatively as we can, it's an impossible feat.”",N/A,"

            
            After shootings, schools around Yellowstone County consider arming staff members
        
",0.0916,0.0,0,0.6156798328624389
4,"A farm-owner, a carpenter, a machinist and a veteran faced off in a Democratic debate last week at Purdue hosted by the Purdue College Democrats.The candidates, who are running for Democratic Party representative in Indiana’s 4th congressional district, answered a variety of questions pertaining to hot-topic issues and those that affect the district. While many of their views were aligned with one another, it also served as a good opportunity for members of the community to share their concerns.The debate started off with opening statements from each candidate:Tobi Beck, a veteran who served in the 571st Military Police, talked about the need for cleaner energy and a universal health care plan and stressed the importance of getting out to vote.Joe Mackey, a retired machinist, spoke of the current pediatric children’s cancer foundation he runs and his passion for health care fueled by the loss of two of his three children to cancer. He elaborated on his problem with health care, bringing up the issue of predatory insurance policies and lack of coverage for pre-existing conditions.Veronikka Ziol, a carpenter and DIY-er who stated she’s running for “the little guy” — the people of the working class — and wants to give them a voice. She wants to end trickle-down economics and get the money out of the wealthy elite, instead giving it to the working class. She ended with her slogan: Clean, Fix, Build.Darin Griesey, a Purdue alumnus and farm-owner, went into his backstory of running his own nonprofit in Los Angeles, which focuses on human rights issues and environmental conservation. He said he returned to Indiana as a lobbyist before taking a job in Indianapolis to help low-income neighborhoods. He reflected on his campaign and the tour he had taken around the district to learn about issues from the community.After the statements, the candidates were asked a series of questions focusing on national and local issues that affect the community.Health careSupport for a universal health care plan was echoed from all candidates. Everyone was in strong favor of covering pre-existing conditions and expanding the Affordable Care Act to do so. Beck and Griesey expressed the need for listening when it comes to building health care plans.“That’s what we need in a representative, somebody that will talk to us, that will show up and then go represent us in Congress,” Beck said.The last question, on abortion, showed all candidates as pro-choice.“I’m still surprised we’re even talking about this,” Griesey said.Job wages / tax reformAs with health care, the candidates were practically unanimous with their answers on job wages, tax reforms and workers unions.All of the candidates were in favor of a new progressive tax system, with Ziol and Beck wanting to tax uninvested money by corporations as well.The candidates remained progressive when discussing minimum wage.Beck was first to answer by discussing the success Washington has had since it has increased to a $15-per-hour minimum wage. As was the trend for the debate, all of the candidates echoed their support for this, with Ziol mentioning a minimum wage as high as $22 per hour.“If minimum wage kept up with inflation, we would already be at $15 an hour,” Ziol said. “If it had kept up with worker productivity, we would be over $22 an hour; I think $15 an hour is at least something that even Republicans should be able to agree on.”Lastly, on workers unions, each candidate briefly showed support for allowing workers to come together and voice their opinions. Mackey shared that he was the only candidate endorsed by the unions.“Democrats cannot just say they support unions,” Mackey said. “Democrats have grown far too comfortable sitting in boardrooms and not going to union halls. I go to the union halls, I speak to union membership. They’re supporting my campaign; I hope you will, as well.”Gun controlIt was this topic where there was a variety of answers; while all were for gun control, each had different ideas for action.Ziol wants to ban the popular AR-15, the gun used in the Parkland school shooting last month, and have stricter licensing when purchasing a gun. Griesey brought up raising the purchase age to 21, ending the gun-show loophole and requiring additional testing when obtaining a concealed-carry permit. Beck called for lifting the restriction on research imposed on the CDC. Mackey came out strong for gun control and went on to discuss his work and support for Moms Demand Action, a national group in support of common-sense gun laws.Marijuana legalization“I think it’s time to end the drug war on marijuana,” Mackey said.The conversation over medical marijuana legalization was rather short but united. Mackey was also in favor of reclassifying it from a Schedule I classification.Beck focused on the opioid crisis, bringing up that states that have legalized medical marijuana have a smaller opioid problem.Ziol was in favor of legalizing marijuana for medicinal and recreational purposes.Griesey, being last to answer, reiterated the previous answers and brought up his history in fighting for decriminalization:“Well out of all of us that are here, I’ve been in front of this issue for 25 years. I’ve drafted up legislation to decriminalize marijuana in Indiana 25 years ago and opened it up to the industrial hemp market as well.”InfrastructureAll of the candidates were for bringing high-speed internet to the rural areas and schools of Indiana.Beck also supported improving the condition of roads and increasing the repair of potholes.Ziol went further and talked about the degradation of bridges and the need to fix them.Griesey emphasized the need for clean water on top of expressing support for high-speed internet.The last question, on the idea of more toll roads in Indiana, was met with a resounding “No” from all of the candidates.",N/A,"

            
            4th District Democratic candidates debate the issues
        
",0.3872,0.0,0,0.6156798328624389
5,"Following the trend of universities like Notre Dame and Indiana University, Purdue tweeted on Feb. 26 a clarification that any students who choose to participate in “a peaceful protest on any side of any subject or (engage) in any other form of protected speech” would not be punished for their nonviolent actions.The tweet came out 12 days after the Parkland, Florida, shooting, which sparked a movement led by the survivors to reform gun legislation.Purdue and other universities have made a point to reassure current and future students that peacefully challenging the status quo won’t lead to disciplinary action down the road. This shows a certain level of wisdom and delicacy that should be adopted by more universities.A comprehensive list of those universities that have made a statement protecting civil protesters can be found at the website “Never Again Colleges,” referencing the pro-gun control movement “#NeverAgain.”These comforting statements should serve as a sign to our current presidential administration that the students who suffer through tragedies like the Parkland shooting will not be bullied or scared into silence and submission. Without the worry of having their college acceptances rescinded or being punished, students will be able to exercise their freedom of speech to protest laws they disagree with.Other universities should take note and make a point to encourage their prospective and current students to “speak, write, listen, challenge and learn,” as Purdue tells its students.As past, present and future students are granted the ability to act peacefully for what they believe in, real legislative change will be able to take place.",N/A,"

            
            Purdue reassures protesters
        
",0.82,0.1531,0,0.6156798328624389
6,"Nationally, the average response time of police is 10 minutes.In an active shooter situation — like the one seen at Marjory Stoneman Douglas High School in Parkland, Florida, just a few weeks ago — each second it takes for first responders to arrive on scene can mean life or death for victims.A controversial plan to limit the loss of life in such an instance was given fuel recently when President Donald Trump endorsed it, igniting a national debate on its validity. The proposal suggests teachers and school administrators — who are willing to do so — arm themselves to provide yet another option of last resort if confronted with a shooter.The proposal has drawn criticism from teachers and gun control advocates alike; however, a Purdue professor and homeland security expert has conducted research that supports the plan’s premise.Professor Eric Dietz, previously the executive director for the Indiana Department of Homeland Security, conducted research in 2014 that found having either an armed guard or armed staff on school grounds can reduce the number of casualties in a mass shooting situation by up to 70 percent by, at the very least, slowing an attacker.“Time is your ally,” he said.In an ideal scenario, Dietz said, a campus would have multiple school resource officers, who are usually trained police officers, on or near the school grounds. MSDS in Parkland had such a safety measure in place, but that officer failed to enter the building after being made aware of the shooting for reasons that are still unclear.Both the Lafayette and West Lafayette Police Departments have trained school resource officers on staff.After tragedies like the one at MSDS or Sandy Hook Elementary School in 2012, advocates on both side of the gun debate come out in force.“There’s a mass of people that come out and say no guns,” Dietz said. “Then you have the people that favor guns coming out and saying, ‘Well it’s not the guns. … It’s the one person who was disturbed that did the killing.’”Many of the arguments, both for and against the proposal to arm teachers, are grounded in emotion. Dietz’s research, on the other hand, approaches the topic from an engineering perspective.“What we were trying to do is offer some insight to the trade-offs and value judgements to treat the school safety problem,” he said.If trained resource officers are not available because of budgetary constraints or other considerations, armed teachers or administrators can have a similar effect, according to Dietz’s research. Having as few as 5 to 10 percent of a school’s staff armed with a firearm could reduce casualties by 5 to 20 percent, his research showed.Professor Janet Alsup, head of the College of Education’s department of curriculum and instruction has reservations about the proposal.“I think it’s very problematic,” she said in an email. “Teachers are educated to be experts in pedagogy, learning sciences, and their content areas, not in armed combat. If we begin to require (or even strongly suggest) that teachers in k-12 classrooms should be willing and able to engage in armed confrontations with school shooters, this puts an undue burden on individual teachers — and on the profession at large.”Before coming to Purdue, Alsup spent time as a middle and high school teacher. Even if she was given the opportunity as a teacher, she said she would not have considered carrying a firearm.“I think it would have undermined my role and impact considerably,” she said. “It would have changed both how I thought about my job as teacher and how I understood others’ expectations of me.”Dietz said that he would never suggest someone who has any apprehension about carrying a weapon to do so. In fact, he said those are the last people he would like to see carrying a firearm.The Indiana State Teachers Association released a statement that called on legislators to provide more resources to aid students struggling with trauma rather than bring weapons into a learning environment.“Arming educators sends a signal that we are giving up and accepting this crisis as the new reality,” the statement read. “Instead of arming educators with guns, lawmakers should start by arming our schools with more psychologists and counselors so kids dealing with trauma get care before they become broken. Educators need to be focused on teaching our students. Together — parents, educators, lawmakers, community leaders — need to come up with real solutions that really will save lives.”No matter which side of the debate one falls on, the goal is the same: save lives.“Every life is precious,” Dietz said.But Dietz urged legislators to use evidence-based reasoning when deciding how best to address the pressing issue.“After these big events, we want to do things that have been shown to have a deliberate impact on reducing casualties, not something we hope, suspect or have faith will reduce casualties.”",N/A,"

            
            Research shows armed teachers could reduce casualties
        
",-0.0188,0.0,0,0.6156798328624389
7,"George and Amal Clooney have donated $100,000 to the Young Center for Immigrant Children's Rights.The 'Ocean's Eleven' actor and the 40-year-old human rights lawyer - who have 12-month-old twins Ella and Alexander together - have revealed they are doing what they can to help migrant children who have been separated from their families, by donating the whopping sum to the non-profit organisation.George, 57, and Amal made the decision after saying they couldn't sit by and do nothing in the face of the refugee crisis, especially when they're parents of young children themselves.Speaking to People magazine, they said in a joint statement: ""At some point in the future our children will ask us: 'Is it true, did our country really take babies from their parents and put them in detention centres?' And when we answer yes, they'll ask us what we did about it. What we said. Where we stood. We can't change this administration's policy but we can help defend the victims of it. Today, the Clooney Foundation for Justice will donate $100,000 to the Young Center for Immigrant Children's Rights.""And the charity's Executive Director, Maria Woltjen, released her own statement following the donation, in which she thanked them for their ""generous support"".She said: ""This Administration's policy disregards international law and basic principles of human decency. To treat children in such a cruel manner not only violates their legal rights but also their basic needs. We are doing everything we can to advocate on behalf of the thousands of children who are separated and alone, and we are grateful for the generous support of George and Amal Clooney and the Clooney Foundation for Justice - it could not be more vital at this time.""For the famous couple, it comes as just one of their recent good deeds, as in February they also donated $500,000 to the March for Our Lives campaign, which was demonstration to advocate for gun control.",N/A,"

            
            George and Amal Clooney donate $100k to migrant charity
        
",0.2613,0.4215,0,0.6156798328624389
8,"Stakes were high and rebuttals were heated at Tuesday night’s Tippecanoe County sheriff and prosecutor primary debate.The debate, hosted by WLFI, was held at the Faith West Community Center, where the sheriff candidates took the stage first.SheriffThe three running are incumbent Barry Richard, who has held the position since 2014; Lt. John “Woody” Ricks; and current West Lafayette Police Chief Jason Dombkowski.Dombkowski spent his opening remarks and much of the debate criticizing Richard’s lack of presence around the office.“I’m running to restore leadership to the office of sheriff,” he said. “You can’t be a leader if you’re not present. The current sheriff is a no-show.”Richard did not respond to these pointed accusations, and instead spent his opening remarks highlighting some of the projects and achievements he has accomplished over the past four years.“We have replaced our vehicles with all-wheel and four-wheel drive SUVs and trucks, providing a safer and more effective situation for our deputies and staff,” he said. “A training initiative with policemen has been obtained for our department’s continued development.”While the back-and-forth between Richard and Dombkowski became more heated throughout the debate, Ricks stood out of the crossfire and stuck with his opening message.“Leadership starts at the top,” he said. “Tippecanoe County is a great community. We need to strive to keep it a great place to live, work and raise a family.”The dispute between candidates intensified during the Q&A section of the debate, especially during inquiries about the Tippecanoe County needle exchange program and current gun control laws.Richard would rather see the Gateway to Hope needle exchange program take a different direction.“I would like to see a lot more counseling and programs within the program,” he said.Conversely, Ricks and Dombkowski are not advocates of the needle exchange program; they both feel it should be removed in favor of alternatives that focus on preventive measures.“I would advocate treatment, jail-based treatment, and get people the help that they need and stop the band-aid effect of a needle exchange program,” Dombkowski said.“I think that we have to go to the root of the problem,” Ricks said. “We have to get these people the kind of help that they need, and enabling them with these needles is not going to help the situation.”Regarding current gun laws, all candidates are in strong support of the Second Amendment, but have differing views on which components of the law need to be reinforced.Ricks said he advocates stronger gun laws across the board and harsher penalties for people carrying unlicensed firearms.Dombkowski vehemently defended the right to bear arms, but did admit that he supports stronger policy in some aspects of gun law.“I support stricter background checks,” Dombkowski. “And it’s about access, stricter background checks. It’s not about the weapons themselves.”Richard, however, seemed to strongly disagree with Dombkowski’s view of the innocence of weapons.“Eliminate assault rifles — they mean just that — assault; eliminate high capacity magazines; eliminate bump stocks which turn semi-automatic into an automatic weapon,” Richard said.ProsecutorThe second half of the debate was reserved for the candidates for Tippecanoe County prosecutor: incumbent Patrick Harrington and local defense attorney Earl McCoy.McCoy wasted no time in his opening remarks, criticizing Harrington’s commitment to the county prosecutor position, as well as his methods.“When a major case comes along, our elected prosecutor shouldn’t be MIA;” McCoy said. “He should be in the courtroom trying those cases ... Thousands of cases each year are going unfiled. Thousands of criminals are walking our streets and being unpunished because cases haven’t been filed.”Harrington’s opening statement did not respond to these pointed accusations, but instead focused on the achievements of the prosecutor’s office while under his administration.“I am proud of our success over my tenure as your prosecutor,” Harrington said. “A record is one based upon accomplishments and achievements. We’ve won 21 out of 23 murder cases. We convict nine out of 10 major felons in jury trials. That’s an increase of one-third from the prior administration.”When asked how he would use his role as prosecutor to help solve the opioid crisis in Tippecanoe County, Harrington said he has already been an active member in helping find solutions.“I’ve worked very hard for the last several years in the opiate crisis,” Harrington said. “I’ve reached out to our state legislatures and they’ve passed laws this year, in fact, that restrict the number of opiate prescriptions that doctors can write.”McCoy believes Harrington is taking his role in state legislature too far to the point where he may even be neglecting his duties as Tippecanoe County prosecutor.“If you want to be a legislator, you should run for the office,” McCoy said.Voters have the option to mail in their ballots, or cast their votes at several voting centers located around the county on May 8.",N/A,"

            
            Sparks fly at debate for county sheriff, prosecutor races
        
",0.177,0.0,0,0.6156798328624389
9,"Ever felt particularly hungry after a Wendy’s commercial? Felt better about yourself after buying ""natural"" products wrapped in green and beige plastic? Been enticed to buy cool sunglasses after seeing your favorite celebrity sport them in the latest action movie?These are all examples of “nudging,” an advertising strategy mentioned by Purdue President Mitch Daniels in his recent Washington Post column, “Someone is watching you.”Nudging works by using strategies such as emotional advertising, subtle hints, differently colored packaging and more expensive default settings to prod consumers to spend more money, according to an article written in the Harvard Business Review. These nudges are supposed to influence customers’ moods and desires to buy more products without having them realize that they’re being swayed.Critics of nudging complain that these psychological advertisements relieve people of their personal autonomy and keep people from making well-informed decisions. Some may posit that nudging is akin to deceiving and lying to customers, thus breaking a fundamental promise of honesty and trust between business and consumer. Much of the data employed by “nudgers” is used to send user-specific ads, such as keeping track of past purchases to suggest new deals for Amazon Prime subscribers.In truth, the worry that our data is being used against us is ridiculous. Complaints against nudging that suggest that personal autonomy does not exist should be regarded as baseless, and they simply aren’t true: Everyone has the capacity to make their own decisions. A company that sends you ads based off of your search history isn’t forcing you to purchase anything. Nudging is nothing more than a well-thought-out advertising strategy, not an evil to subvert free will, and it should stop being treated as such.On a more pragmatic note, if your data is being used to provide you with deals specific to your interests or on items you purchase regularly, where exactly is the problem?That aside, advertisers aren’t trying to explicitly lie to customers.The only “unfair” advantages that marketing departments have are the countless years spent researching their audience market — no brainwashing ray guns or magical spells force consumers to buy their products. While advertisers may have a slight upper hand due to years of research, consumers hold the ultimate moral responsibility for what they purchase.If an “all-natural” tagline or well-shot commercial actually makes you purchase something, there’s a higher chance that you have a problem with self-control, not that some advertiser is controlling you from a far-away cubicle.",N/A,"

            
            Nudging is a strategy, not a scheme
        
",0.2317,0.0,0,0.6156798328624389
