STATE,DISTRICT,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL  VOTES
Alabama,S,(I),"Sessions, Jeff",,R,199690,1305383
Alabama,S,,"Gavin, Earl Mack",,R,16718,
Alabama,S,,,Party Votes:,R,216408,
Alabama,S,,"Figures, Vivian Davis",,D,112074,752391
Alabama,S,,"Swanson, Johnny, III",,D,38757,
Alabama,S,,"Townsend, Mark ""No NCAA""",,D,25058,
Alabama,S,,,Party Votes:,D,175889,
Alabama,S,,Scattered,,W,,2417
Alabama,S,,,Total Senate Votes:,,392297,2060191
Alaska,S,,"Begich, Mark",,D,63747,151767
Alaska,S,,"Metcalfe, Ray",,D,5480,
Alaska,S,,"Vondersaar, Frank J.",,D,965,
Alaska,S,,,Party Votes:,D,70192,
Alaska,S,(I),"Stevens, Ted",,R,66900,147814
Alaska,S,,"Cuddy, David W.",,R,28364,
Alaska,S,,"Vickers, Vic",,R,6102,
Alaska,S,,"Corey, Michael D.",,R,1496,
Alaska,S,,"Sikma, Roderic H. ""Rick""",,R,1133,
Alaska,S,,"Wanda, Rich M.",,R,732,
Alaska,S,,"Heikes, Gerald L. ""Jerry""",,R,599,
Alaska,S,,,Party Votes:,R,105326,
Alaska,S,,"Bird, Bob",,AKI,4216,13197
Alaska,S,,,Party Votes:,AKI,4216,
Alaska,S,,"Haase, Fredrick D. ""David""",,LBT,1375,2483
Alaska,S,,,Party Votes:,LBT,1375,
Alaska,S,,"Gianoutsos, Ted",,NNE,n/a,1385
Alaska,S,,Scattered,,W,,1077
Alaska,S,,,Total Senate Votes:,,181109,317723
Arkansas,S,(I),"Pryor, Mark",,D,Unopposed,804678
Arkansas,S,,"Kennedy, Rebekah",,GRE,n/a,207076
Arkansas,S,,,Total Senate Votes:,,,1011754
Colorado,S,,"Udall, Mark",,D,194227,1231049
Colorado,S,,,Party Votes:,D,194227,
Colorado,S,,"Schaffer, Bob",,R,239212,990784
Colorado,S,,,Party Votes:,R,239212,
Colorado,S,,"Campbell, Douglas ""Dayhorse""",,AMC,n/a,59736
Colorado,S,,"Kinsey, Bob",,GRE,n/a,50008
Colorado,S,,"Moore, Buddy",,W,n/a,116
Colorado,S,,"Cooper, Gary",,W,n/a,10
Colorado,S,,"Lohmiller, Bruce E.",,W,n/a,9
Colorado,S,,,Total Senate Votes:,,433439,2331712
Delaware,S,(I),"Biden, Joseph R., Jr.",,D,Unopposed,257539
Delaware,S,,"O'Donnell, Christine",,R,Unopposed,140595
Delaware,S,,,Total Senate Votes:,,,398134
Georgia,S,(I),"Chambliss, Saxby",,R,392902,1867097
Georgia,S,,,Party Votes:,R,392902,
Georgia,S,,"Martin, Jim",,D,169635,1757393
Georgia,S,,"Jones, Vernon",,D,199026,
Georgia,S,,"Cardwell, Dale",,D,79181,
Georgia,S,,"Knight, Rand",,D,25667,
Georgia,S,,"Lanier, Josh",,D,19717,
Georgia,S,,,Party Votes:,D,493226,
Georgia,S,,"Buckley, Allen",,LBT,n/a,127923
Georgia,S,,"Garcia, Eleanor",,W,n/a,43
Georgia,S,,"Salomone, William, Jr.",,W,n/a,29
Georgia,S,,,Total Senate Votes:,,886128,3752485
Idaho,S,,"Risch, Jim",,R,80743,371744
Idaho,S,,"Syme, Scott A.",,R,16660,
Idaho,S,,"Phenneger, Richard ",,R,6532,
Idaho,S,,"Thompson, Neal",,R,5375,
Idaho,S,,"Adams, Fred M.",,R,4987,
Idaho,S,,"Hunter, Bill",,R,4280,
Idaho,S,,"Hefner, Brian E.",,R,2915,
Idaho,S,,"Styles, Hal James, Jr.",,R,2082,
Idaho,S,,,Party Votes:,R,123574,
