Date,State,Candidate Name,Number of Votes,Percentage,(I),Party,,,,,
6-Mar,Texas,Beto O'Rourke,641324.00,0.62,0.00,D,,,,,
6-Mar,Texas,Sema Hernandez,246308.00,23.70,0.00,D,,,,,
6-Mar,Texas,Edward Kimbrough,150147.00,14.50,0.00,D,,,,,
6-Mar,Texas,Ted Cruz*,1317450.00,0.85,1.00,R,,,,,
6-Mar,Texas,Mary Miller,94451.00,6.10,0.00,R,,,,,
6-Mar,Texas,Bruce Jacobson,64604.00,4.20,0.00,R,,,,,
6-Mar,Texas,Stefano de Stefano,44327.00,2.90,0.00,R,,,,,
6-Mar,Texas,Geraldine Sam,22842.00,1.50,0.00,R,,,,,
8-May,Indiana,Joe Donelly,0.00,0.00,1.00,D,,,,,
8-May,Indiana,Mike Braun,208505.00,0.41,0.00,R,,,,,
8-May,Indiana,Todd Rokita,151906.00,30.00,0.00,R,,,,,
8-May,Indiana,Luke Messer,146081.00,28.80,0.00,R,,,,,
8-May,Ohio,Sherrod Brown,0.00,0.00,1.00,D,,,,,
8-May,Ohio,James B. Renacci,360475.00,0.47,0.00,R,,,,,
8-May,Ohio,Mike Gibbons,241109.00,31.70,0.00,R,,,,,
8-May,Ohio,Melissa Ackison,99455.00,13.10,0.00,R,,,,,
8-May,Ohio,Dan Kiley,30323.00,4.00,0.00,R,,,,,
8-May,Ohio,Don Eckhart,29446.00,3.90,0.00,R,,,,,
8-May,West Virginia,Joe Manchin,111589.00,0.70,1.00,D,,,,,
8-May,West Virginia,Paula Jean Swearengin,48302.00,30.20,0.00,D,,,,,
8-May,West Virginia,Patrick Morrisey,47571.00,0.35,0.00,R,,,,,
8-May,West Virginia,Evan Jenkins,39888.00,29.30,0.00,R,,,,,
8-May,West Virginia,Don Blankenship,27153.00,19.90,0.00,R,,,,,
8-May,West Virginia,Thomas Willis,13322.00,9.80,0.00,R,,,,,
8-May,West Virginia,Bo Copley,4206.00,3.10,0.00,R,,,,,
8-May,West Virginia,Jack Newbrough,4080.00,3.00,0.00,R,,,,,
15-May,Pennsylvania,Bob Casey,0.00,0.00,1.00,D,,,,,
15-May,Pennsylvania,Lou Barletta,429888.00,0.63,0.00,R,,,,,
15-May,Pennsylvania,Jim Christiana,251446.00,36.90,0.00,R,,,,,
15-May,Nebraska,Jane Raybould,57654.00,0.64,0.00,D,,,,,
15-May,Nebraska,Chris Janicek,18153.00,20.10,0.00,D,,,,,
15-May,Nebraska,Frank Svoboda,10356.00,11.40,0.00,D,,,,,
15-May,Nebraska,Larry Marvin,4317.00,4.80,0.00,D,,,,,
15-May,Nebraska,Deb Fischer,127083.00,0.76,1.00,R,,,,,
15-May,Nebraska,Todd Watson,19483.00,11.60,0.00,R,,,,,
15-May,Nebraska,Jack Heidel,9305.00,5.60,0.00,R,,,,,
15-May,Nebraska,Jeffrey Stein,6343.00,3.80,0.00,R,,,,,
15-May,Nebraska,Dennis Macek,5431.00,3.20,0.00,R,,,,,
5-Jun,California,Dianne Feinstein,2031967.00,0.44,1.00,D,,,,,
5-Jun,California,Kevin de León,528043.00,11.50,0.00,D,,,,,
5-Jun,California,James Bradley,398477.00,8.70,0.00,R,,,,,
5-Jun,California,Arun Bhumitra,248297.00,5.40,0.00,R,,,,,
5-Jun,California,Paul Taylor,231180.00,5.00,0.00,R,,,,,
5-Jun,California,Erin Cruz,185638.00,4.00,0.00,R,,,,,
5-Jun,California,Tom Palzer,141030.00,3.10,0.00,R,,,,,
5-Jun,California,Rocky De La Fuente,98025.00,2.10,0.00,R,,,,,
5-Jun,California,Alison Hartson,93067.00,2.00,0.00,D,,,,,
5-Jun,California,Pat Harris,84179.00,1.80,0.00,D,,,,,
5-Jun,California,John Crew,67510.00,1.50,0.00,R,,,,,
5-Jun,California,Patrick Little,62830.00,1.40,0.00,R,,,,,
5-Jun,California,Kevin Mottus,62785.00,1.40,0.00,R,,,,,
5-Jun,California,Jerry Laws,49277.00,1.10,0.00,R,,,,,
5-Jun,California,Derrick Reid,40178.00,0.90,0.00,Libertarian,,,,,
5-Jun,California,Adrienne Edwards,37305.00,0.80,0.00,D,,,,,
5-Jun,California,Douglas Pierce,28809.00,0.60,0.00,D,,,,,
5-Jun,California,Mario Nabliba,28339.00,0.60,0.00,R,,,,,
5-Jun,California,Donnie Turner,21206.00,0.50,0.00,D,,,,,
5-Jun,California,David Hildebrand,20316.00,0.40,0.00,D,,,,,
5-Jun,California,Herbert Peters,18758.00,0.40,0.00,D,,,,,
5-Jun,California,David Moore,16733.00,0.40,0.00,Independent,,,,,
5-Jun,California,Ling Ling Shi,16606.00,0.40,0.00,Independent,,,,,
5-Jun,California,John Parker,14578.00,0.30,0.00,Peace and Freedom,,,,,
5-Jun,California,Lee Olson,14307.00,0.30,0.00,Independent,,,,,
5-Jun,California,Gerald Plummer,12829.00,0.30,0.00,D,,,,,
5-Jun,California,Jason Hanania,12279.00,0.30,0.00,Independent,,,,,
5-Jun,California,Don Grundmann,10367.00,0.20,0.00,Independent,,,,,
5-Jun,California,Colleen Fernald,9531.00,0.20,0.00,Independent,,,,,
5-Jun,California,Rash Ghosh,8091.00,0.20,0.00,Independent,,,,,
5-Jun,California,Tim Gildersleeve,5825.00,0.10,0.00,Independent,,,,,
5-Jun,California,Michael Girgis,2109.00,0.00,0.00,Independent,,,,,
