,Article,Sentiment
0,"Although the March is officially titled “March for Our Lives,” BuzzfeedNews reports the march is indeed focused on securing gun control:Florida shooting survivors announce March For Our Lives on March 24 in support of gun control: ""We've been hearing is that it's not the yet time to talk about gun control…so here's the time we're going to talk about gun control, March 24."" pic.twitter.com/jWG9ZbXoy2— BuzzFeed News (@BuzzFeedNews) February 18, 2018ABC News reports that South Broward High School students have already begun rallying for gun control, with Sophomore Genesis Campbell leading chants while holding a sign that read, “No more silence, end gun violence.” And this all comes after Nikolas Cruz complied with gun control to acquire a rifle, then carried that rifle into a gun-free school zone and opened fire, killing 17.Actress and gun control advocate Julianne Moore praised the students for pressuring Congress to act:This is an exciting and important moment. On March 24, students are leading marches in DC & across the country to demand that lawmakers do their jobs and take action to prevent gun violence. Get involved: https://t.co/u4MKGLpoZR #MarchForOurLives @Everytown— Julianne Moore (@_juliannemoore) February 18, 2018Josh Gad voiced support for the gun control march as well:We are all sickened by what happened in FL last week, but we cannot ignore these tragedies any longer. I am so inspired to see the students of Parkland & kids all over this country standing up to the status quo. On March 24, we march. Join us. #MarchForOurLives @MarchForOurLives pic.twitter.com/2v3yABKYn3— Josh Gad (@joshgad) February 18, 2018Singer Justin Bieber gave a shout-out to March organizer and high school junior Cameron Kasky, tweeting:Cameron good talking to you last night. All of your bravery is amazing. I stand with you guys. #march24 #marchforourlives https://t.co/oKG8MmhzaI— Justin Bieber (@justinbieber) February 18, 2018And Alyssa Milano tweeted:Join me on March 24 as we march for our lives. #MarchForOurLives https://t.co/7RmueDo5gu— Alyssa Milano (@Alyssa_Milano) February 18, 2018Milano tweeted within hours of the February 14 shooting at Stoneman Douglas High, asking NRA members to demand “sensible gun control.” She did not say what such gun control might be, but the “sensible” gun control pushed by Hollywood and Michael Bloomberg-funded gun control groups has historically been background checks. But the Florida school gunman passed a background check. AWR Hawkins is an award-winning Second Amendment columnist for Breitbart News, the host of the Breitbart podcast Bullets with AWR Hawkins, and the writer/curator of Down Range with AWR Hawkins, a weekly newsletter focused on all things Second Amendment, also for Breitbart News. He is the political analyst for Armed American Radio. Follow him on Twitter: @AWRHawkins. Reach him directly at awrhawkins@breitbart.com. Sign up to get Down Range at breitbart.com/downrange. ",0
1,"Clinton ran gun control as a candidate in the 2016 election and lost. President Trump ran as pro-gun and LMT Online reports that Clinton is now criticizing him for standing with gun rights organizations.She said Trump “did everything he could to ingratiate himself with the gun lobby, and is now doing everything he can to gut existing laws.”Despite losing the election, Clinton claimed that “the vast majority of Americans” support the gun control position, adding, “So we are winning the debate. But now we’ve got to get everyone to vote on this issue.”Clinton pointed to school shootings as a justification for more gun control. She talked of the February 14, 2018, Parkland shooting in which a gunman shot and killed 17. She also mentioned the April 20, 1999, Columbine High School attack, in which 13 were killed.She did not mention that the Parkland attacker passed a background check to acquire his rifle nor did she point out that the Columbine attack happened at a time when the Democrats’ prized gun control, the “assault weapons” ban, was in effect.Clinton was also mum on the fact that Parkland and Columbine were both gun-free zones.AWR Hawkins is an award-winning Second Amendment columnist for Breitbart News, the host of the Breitbart podcast Bullets with AWR Hawkins, and the writer/curator of Down Range with AWR Hawkins, a weekly newsletter focused on all things Second Amendment, also for Breitbart News. He is the political analyst for Armed American Radio. Follow him on Twitter: @AWRHawkins. Reach him directly at awrhawkins@breitbart.com. Sign up to get Down Range at breitbart.com/downrange. ",0
2,"The Orlando Sentinel reports that “four firearms and 267 rounds of ammunition” were taken from the man, and he was “taken to a hospital for involuntary psychiatric treatment.”The seized firearms were listed as “a Ruger LCP .380 pistol, an M2 Mauser .45 pistol, a Charter Arms .357 mag snub nose revolver and a Mossberg 500 12-gauge shotgun.”The paper notes that “the civil ruling removing his access to guns and ammunition was granted under … new legislation — which permits confiscating guns from people who have not been committed but are deemed a potential risk to themselves or others, according to the order signed by Broward’s Chief Judge Jack Tuter.”The confiscatory order also bars the man from making new firearm or ammunition purchases.On March 9, Breitbart News reported that Gov. Scott signed a $400 million gun bill that includes orders which allows a family member or law enforcement to petition a judge to order the seizure of an individual’s firearms. The bill also put waiting periods in place for long gun purchases, raised the minimum purchase age for long gun purchases (from 18 to 21), and banned bump stocks.When asked about the confiscatory order that resulted in the seizure of the Lighthouse Point resident’s firearms, Mayor Glenn Troast said, “This is not about the Second Amendment and it’s not about the NRA. We need commonsense gun laws and this is a commonsense gun law that gives police officers new tools they need to help us protect our community.”AWR Hawkins is an award-winning Second Amendment columnist for Breitbart News, the host of the Breitbart podcast Bullets with AWR Hawkins, and the writer/curator of Down Range with AWR Hawkins, a weekly newsletter focused on all things Second Amendment, also for Breitbart News. He is the political analyst for Armed American Radio. Follow him on Twitter: @AWRHawkins. Reach him directly at awrhawkins@breitbart.com. Sign up to get Down Range at breitbart.com/downrange.",0
3,"On April 19 Breitbart News reported Hogg’s announcement that he and his sister, Lauren, were writing the book about gun control movement which sprang from the Parkland attack.Entertainment Weekly reported that David and Lauren “have been leaders in the gun control movement that took shape among students, in the aftermath of the Parkland shooting.” The siblings’ book “will explore their efforts taking on some of the most powerful forces in Washington and beyond, and will detail their commitment to new legislation aiming to prevent future tragedies.”David used an April 23 tweet to announce that the book will be out on June 5:Today @lauren_hoggs and I are announcing our book #NeverAgain that tells the story of the foundation of this movement for those we lost. Lauren and I will be using the money made from the book to help heal the community. #NeverAgain out June 5th https://t.co/Vh2gWVWNGq— David Hogg (@davidhogg111) April 18, 2018AWR Hawkins is an award-winning Second Amendment columnist for Breitbart News, the host of the Breitbart podcast Bullets with AWR Hawkins, and the writer/curator of Down Range with AWR Hawkins, a weekly newsletter focused on all things Second Amendment, also for Breitbart News. He is the political analyst for Armed American Radio. Follow him on Twitter: @AWRHawkins. Reach him directly at awrhawkins@breitbart.com. Sign up to get Down Range at breitbart.com/downrange.",0
4,"After all, Everytown’s gun control theme for the day is #WearOrange.The actors, actresses, and other celebrities do not espouse any particular way to prevent or control gun crime, but many of them do share the exaggerated claim that “93 Americans are killed” by “gun violence” each day.Longtime gun control proponents Julianne Moore and Amy Schumer each tweeted the “93 victims” claim: Tyrone Lawson, 17, was shot and killed leaving a college basketball game in Chicago in 2013. I #WearOrange for Tyrone along with the 93 people who are killed, and the hundreds who are injured by gun violence every day in the United States.A post shared by Julianne Moore (@juliannemoore) on Jun 2, 2017 at 5:24am PDTI #WearOrange for Ronique Williams. One of the 93 killed, and hundreds injured by gun violence every day in America.— Amy Schumer (@amyschumer) June 2, 2017During the 2016 presidential campaign, Hillary Clinton made similar claims — Clinton claimed 90 people killed a day — for a total of “33,000 people a year.”Breitbart News has repeatedly pointed out that this figure actually swells the number of people killed via “gun violence” by 66 percent. In reality, the number of people killed via actual “gun violence” ranges from about 10,500 to 12,000 a year. Clinton swelled that number by adding in firearm-related suicides, which number roughly 20,000 to 22,000 per year. Everytown, Moore, and Schumer have done the same thing to swell their figures.Of course, there were many celebrities who did not bother trying to quantify “gun violence.” Rather, they simply took a selfie to show that they voiced opposition to it and demanded that it be stopped. They did not put forth any plans for stopping gun crime in the Democrat-controlled cities where it thrives — cities like Baltimore, Chicago, Houston, St. Louis, Milwaukee, New Orleans, and Seattle — but they did post photos of themselves:#WearOrange pic.twitter.com/17qp8QksAB— Kim Kardashian West (@KimKardashian) June 2, 2017#WearOrange today! Join in the fight to end gun violence. More details at https://t.co/f1tLRaB4MC pic.twitter.com/vcf5KHroIH— Andy Richter (@AndyRichter) June 2, 2017I #WearOrange for National Gun Violence Awareness Day. Join me: https://t.co/scndEMaITQ pic.twitter.com/y63Y2rn3CO— Judd Apatow (@JuddApatow) June 2, 2017On #NationalGunViolenceAwarenessDay it's important to note gun violence disproportionately affects women https://t.co/7i3ghHgdFF #WearOrange pic.twitter.com/P64mVQR36X— Mariska Hargitay (@Mariska) June 2, 2017 We #WEARORANGE today for the victims of gun violence! We will be walking with survivors and family members in #Newtown today to show solidarity in our fight for #GunSense. Come out and march with us!A post shared by Melissa Joan Hart (@melissajoanhart) on Jun 2, 2017 at 5:51am PDTLove Life.#WearOrange @billyeichner @Everytown @_juliannemoore @CNN @maddow @BreitbartNews @RedState @HuffingtonPost pic.twitter.com/8JmmzmIXTw— Denis O'Hare (@denisohare) June 2, 2017I #WearOrange for National Gun Violence Awareness Day. Join me: https://t.co/1nqy5sBNvq pic.twitter.com/6SaWpwYNMp— alysia reiner (@alysiareiner) June 2, 2017#WearOrange @Everytown pic.twitter.com/41uKmhDVKp— lee daniels (@leedanielsent) June 2, 2017Many thanks #WearOrange— Ron Howard (@RealRonHoward) June 2, 2017#WearOrange Today & every June 2nd til we get #commonsensegunlaws Hunters rock orange 2 not get shot & 2 fight  #gunviolence@Everytown pic.twitter.com/B1aL0Yh7sg— Jason Winston George (@JasonWGeorge) June 2, 2017Today we #wearorange for gun violence awareness. Post a photo of you in orange and tag me. #everytown #gunviolenceawareness @everytown pic.twitter.com/RyVlR2LarQ— Ian Harding (@IANMHARDING) June 2, 2017Comedian Jim Gaffigan joined in the gun control action while making fun of President Trump. Gaffigan tweeted:Hey @Everytown congrats on getting even the president to wear #WearOrange— Jim Gaffigan (@JimGaffigan) June 2, 2017Lin-Manuel Miranda tweeted support for the gun control day as well,  and asked gun control supporters to go to WearOrange.org to learn more.#WearOrange today! Join in the fight to end gun violence. More details at https://t.co/XB7w0ABCWm pic.twitter.com/zjRI4BwcTg— Lin-Manuel Miranda (@Lin_Manuel) June 2, 2017The Wear Orange website says:Gun violence kills more than 90 Americans a day and injures hundreds more. That’s why this June 2nd on National Gun Violence Awareness Day, Americans across the country will Wear Orange—a color that demands to be seen—to send the powerful message that there is more we can do to end gun violence.The “powerful message” omits any powerful plan for dealing with the problem Hollywood claims is plaguing America. AWR Hawkins is the Second Amendment columnist for Breitbart News and host of Bullets with AWR Hawkins, a Breitbart News podcast. He is also the political analyst for Armed American Radio. Follow him on Twitter: @AWRHawkins. Reach him directly at awrhawkins@breitbart.com.",0
5,"Mensa was arrested in Beverly Hills after being found with a concealed handgun without a California concealed carry license.On March 7, 2017, TMZ reported, “[Mensa] was stopped in Beverly Hills … for running a stop sign and having tinted windows … according to law enforcement sources. We’re told he informed cops he had a gun in his car and showed them his concealed carry permit. The problem is … cops say the permit is for another state.”Mensa faced “felony” charges for the incident but was able to plead down to “two years probation.”In addition to performing Saturday, Mensa called out another rapper, Killer Mike, for criticizing march participants who blindly follow the “progressive movement.” Killer Mike warned that gun control ultimately means blacks lose the guns with which they protect their freedom. Mensa responded by challenging him to a debate:To @KillerMike : YOU DONT NEED AN AR-15. As a black man & fellow gun owner I would like to have a debate with you about your stances on gun-control.— vino valentino (@VicMensa) March 24, 2018Killer Mike responded by saying, “We got the same publicist and u have my phone number. I ain’t dodge’n u”:We got the same publicist and u have my phone number.  I ain’t dodge’n u. 🏾‍♂️ https://t.co/OQRxBYSVSW— Killer Mike (@KillerMike) March 24, 2018AWR Hawkins is an award-winning Second Amendment columnist for Breitbart News, the host of the Breitbart podcast Bullets with AWR Hawkins, and the writer/curator of Down Range with AWR Hawkins, a weekly newsletter focused on all things Second Amendment, also for Breitbart News. He is the political analyst for Armed American Radio. Follow him on Twitter: @AWRHawkins. Reach him directly at awrhawkins@breitbart.com. Sign up to get Down Range at breitbart.com/downrange.",0
6,"The murders are in line with what the city has witnessed over the past few years. ABC7 reports there were seven murders over the Memorial Day Weekend in 2017 and eight during the same weekend in 2016.Chicago’s overall murder rate is slightly lower than it was last year at this point. USA Today reports there have been 191 murders year-to-date, whereas there were 237 murders at this same time last year. However, the murder rate is still high enough that it puts Chicago “on pace once again to record more homicides than any other American city. ”In fact, “Chicago still has tallied nearly as many homicides thus far in 2018 as New York City (106) and Los Angeles (92) combined.”This violence is occurring in a city where gun control has been the go-to solution for crime for decades. The city banned handgun ownership in 1982, only to see the murder rate skyrocket. The Chicago Police Department reported there were 850 homicides in 1993, 930 homicides in 1994, 921 homicides in 1991, and a startling 940 homicides in 1992. Yet the city’s leaders refused to lift the handgun ban, doing so only when the ban was struck down by the Supreme Court of the United States in 2010.Even now, city and state leaders push for more gun control as the solution to the violence in Chicago. On March 8, 2018, Breitbart News reported that the Illinois House passed a bill designed to require 18-20-year olds to hand over theretofore legally purchased and possessed “assault weapons.” More recently, on April 3, 2018, Breitbart News reported that the Chicago suburb of Deerfield actually empowered their chief of police to confiscate residents’ “assault weapons” and “high capacity” magazines and destroy them.AWR Hawkins is an award-winning Second Amendment columnist for Breitbart News, the host of the Breitbart podcast Bullets with AWR Hawkins, and the writer/curator of Down Range with AWR Hawkins, a weekly newsletter focused on all things Second Amendment, also for Breitbart News. He is the political analyst for Armed American Radio. Follow him on Twitter: @AWRHawkins. Reach him directly at awrhawkins@breitbart.com. Sign up to get Down Range at breitbart.com/downrange.",0
7,"The bill was also signed by Richard Blumenthal (D-CT), Jeanne Shaheen (D-NH), Orrin Hatch (R-UT), and Dean Heller (R-NV).Fox News Congressional reporter Chad Pergram tweeted that the bill is designed to “strengthen the background check system” in the wake of the Texas church attack.The Texas church attacker passed a background check for his gun, although he had a conviction that should have prevented gun possession. He received his conviction via a court-martial while in the Air Force but NPR reported that the Air Force “mishandled” the matter by failing to report it to the National Instant Background Check System (NICS), which is the system through which background checks are conducted.The Air Force investigation into where and how the breakdown on information reporting occurred is still underway. In the meantime, Sens. Cornyn, Murphy, Feinstein, Blumenthal, Shaheen, Hatch, and Heller are pushing for a new law.Murphy is ecstatic. He tweeted that the legislation is the most significant gun law promoted since Sen. Joe Manchin (D-NW) pushed universal background checks as a response to the Sandy Hook Elementary School attack:The Fix NICS Act is the most important piece of bipartisan guns legislation since Manchin-Toomey. 4 Dems, 4 Republicans. Reforms aren't window dressing.  Big deal.— Chris Murphy (@ChrisMurphyCT) November 16, 2017AWR Hawkins is the Second Amendment columnist for Breitbart News and host of Bullets with AWR Hawkins, a Breitbart News podcast. He is also the political analyst for Armed American Radio. Follow him on Twitter: @AWRHawkins. Reach him directly at awrhawkins@breitbart.com",0
8,"These controls range from an all-out ban on semiautomatic firearms to regulations on single shot muzzleloaders and limits on the number of guns someone can pass to a felon.Breitbart News outlined the first nine of these gun controls on October 11. They were:Numerous others have flooded in since the introduction of those original nine. The newest suggested controls include regulation on single shot muzzleloaders. In fact, Gabby Giffords gun control group suggests muzzleloaders could be the next bump stock. Her group also wants gun control on “high capacity shotguns,” binary triggers, “AK and AR style pistols,” arm braces for AR style pistols, “AR pistol blade stabilizers,” .50 caliber rifles, .50 caliber ammunition, and tracer rounds for various calibers of firearms.Giffords’ group seeks to substantiate their call for a ban on tracer rounds by writing, “Tracer rounds allow a shooter to see where rounds are tracking at night.”Two other gun controls are being pushed by Sen. Kirsten Gillibrand (D-NY). The first of the two is a federal ban on firearms trafficking. She is pushing this ban although such trafficking is already clearly prohibited via ATF background check form 4473. LIBN reports that Gillibrand is also again pushing the Hadiya Pendleton and Nyasia Pryear-Yard Gun Trafficking & Crime Prevention Act, which “would make it illegal to sell purchase, or transfer two or more firearms to someone whom the seller knows, or has reasonable cause to know, is a felon or convicted domestic abuser.”Lastly, the 21st gun control currently being pushed is regulation on so-called “ghost guns.” These are guns that are legal to manufacture at home, but require a significant amount of know-how and equipment to accomplish. The establishment media is currently pointed to two crimes committed with “ghost guns” as justification for a new federal law to regulate the sale, manufacture of the firearms.On October 19, 2017, Sen. Chuck Schumer (D-NY) urged his Democrat colleagues to drop gun control. He worried that it will politically hurtful for those trying to get re-elected in red states in November 2018. Apparently, Schumer’s colleagues are not listening.AWR Hawkins is the Second Amendment columnist for Breitbart News and host of Bullets with AWR Hawkins, a Breitbart News podcast. He is also the political analyst for Armed American Radio. Follow him on Twitter: @AWRHawkins. Reach him directly at awrhawkins@breitbart.com",0
9,"They run this risk via their in-your-face gun control hubris, especially when that hubris is directed toward docile actors.For example, on Monday Rep. Steve King (R-IA) addressed Parkland students who want to raise the minimum age for gun purchases by asking, “If you are a teenager & believe you won’t be responsible enough to own a gun until 21, why should you vote before 21?” That is a reasonable question when one considers that voting and owning guns are both constitutional rights. Yet the responses to his question varied between things  too vulgar to print and pronouncements that his political career is over–that he is a pawn of the NRA and is going to be voted out office.Or consider David Hogg, one of the most frequent spokesmen for Parkland gun control activists. He put out a PSA one week before the student march for gun control and asked, “What if our politicians weren’t the bitch of the NRA?” And it is not just the way he talks about the NRA, although that runs the risk of motivating the group’s five million-plus members to show up and vote. It is also the way he appears to set himself apart from other Americans in general.Take his March 22 Axios interview as an example. In that interview he talked of how his teachers are “very understanding” when he has to skip school for gun control events and appearances. He even talked of how he was recently supposed to take a math test but just said, “Nah.” This gives the appearance of special rules for the philosopher king, rules and opportunities that cannot be enjoyed by others. One cannot be blamed for sensing a similar, conflicting set of rules in gun controllers from Hollywood and D.C.If, by chance, you still do not see the hubris, then look at Parkland gun control activist Cameron Kasky, who spends time rejecting the idea of arming teachers to defend students when he is not making fun of Americans’ abiding conviction that we need to be armed to repel a tyranny. On Tuesday he tweeted:To all people who think they need an assault rifle: I can not promise this, but I truly do not believe the redcoats will be coming for any of us any time soon.— Cameron Kasky (@cameron_kasky) March 28, 2018And we have not even mentioned how the gun control activists treated Sen. Marco Rubio (R-FL) and NRA spokeswoman Dana Loesch during the CNN gun control town hall.It was just a few short months ago–October 19, 2017, to be exact–that Sen. Chuck Schumer (D-NY) was urging his colleagues to drop gun control until after the November 2018 election. He worried that the incessant, post-Vegas gun control push was going to hurt Democrats in the midterm elections.Yet the gun control push from Democrats has only escalated since Schumer voiced his concerns, thanks to the Parkland activists and others.Meanwhile, the NRA PAC took in February donations that were three times higher than it received during January. This could mean that people had spent months saving in a coordinated effort to give money to the NRA in February or…it could mean that Schumer was right and all the gun control rhetoric is rallying Americans to the standard once more. And that standard is the Second Amendment.AWR Hawkins is an award-winning Second Amendment columnist for Breitbart News, the host of the Breitbart podcast Bullets with AWR Hawkins, and the writer/curator of Down Range with AWR Hawkins, a weekly newsletter focused on all things Second Amendment, also for Breitbart News. He is the political analyst for Armed American Radio. Follow him on Twitter: @AWRHawkins. Reach him directly at awrhawkins@breitbart.com. Sign up to get Down Range at breitbart.com/downrange.",0
