,Type of race,State,FIPS Code,State code,Incumbent/ Incumbent Party Candidate,Opponant,Opponant Gun Control Stance,Most recent result,NYT,Predict_avg,Predict_ave_st,Vote for Good,Vote for Bad,Good vote percentage
0,Senator,Arizona,,4,TBA,,,49% R,Tossup,3.0,2,0,0,
1,Senator,California,,6,Dianne Feinstein (D),  ,,63% D,Safe D,6.0,3,8,0,100.0
2,Senator,Connecticut,,9,Chris Murphy (D),,,55% D,Safe D,6.0,3,5,0,100.0
3,Senator,Delaware,,10,Tom Carper (D),,,66% D,Safe D,6.0,3,6,0,100.0
4,Senator,Florida,,12,Bill Nelson (D),,,55% D,Tossup,3.0,2,5,1,83.0
5,Senator,Hawaii,,15,Mazie Hirono (D),,,63% D,Safe D,6.0,3,5,0,100.0
6,Senator,Indiana,,18,Joe Donnelly (D),,,50% D,Tossup,3.0,2,3,2,60.0
7,Senator,Maine,,23,Angus King (I),,,53% I,Safe D/I,6.0,3,4,1,80.0
8,Senator,Maryland,,24,Ben Cardin (D),,,55% D,Safe D,6.0,3,8,0,100.0
9,Senator,Massachusetts,,25,Elizabeth Warren (D),,,54% D,Safe D,6.0,3,5,0,100.0
10,Senator,Michigan,,26,Debbie Stabenow (D),,,59% D,Likely D,5.2,3,6,0,100.0
11,Senator,Minnesota,,27,Amy Klobuchar (D),,,65% D,Safe D,6.0,3,5,0,100.0
12,Senator,"Minnesota
(Special)",,27,Tina Smith (D),,,53% D,Likely D,4.8,3,0,0,
13,Senator,Mississippi,,28,Roger Wicker (R),,,57% R,Safe R,0.0,1,0,6,0.0
14,Senator,"Mississippi
(Special)",,28,Cindy Hyde-Smith (R),,,60% R,Likely R,0.6,1,0,0,
15,Senator,Missouri,,29,Claire McCaskill (D),,,55% D,Tossup,3.0,2,5,0,100.0
16,Senator,Montana,,30,Jon Tester (D),,,49% D,Lean D,4.25,3,2,3,40.0
17,Senator,Nebraska,,31,Deb Fischer (R),,,56% R,Safe R,0.2,1,0,5,0.0
18,Senator,Nevada,,32,Dean Heller (R),,,46% R,Tossup,3.0,2,0,5,0.0
19,Senator,New Jersey,,34,Bob Menendez (D),,,59% D,Likely D,5.4,3,8,0,100.0
20,Senator,New Mexico,,35,Martin Heinrich (D),,,51% D,Safe D,6.0,3,4,1,80.0
21,Senator,New York,,36,Kirsten Gillibrand (D),,,72% D,Safe D,6.0,3,5,0,100.0
22,Senator,North Dakota,,38,Heidi Heitkamp (D),,,50% D,Tossup,3.0,2,0,5,0.0
23,Senator,Ohio,,39,Sherrod Brown (D),,,51% D,Lean D,4.0,2,8,0,100.0
24,Senator,Pennsylvania,,42,Bob Casey Jr. (D),,,54% D,Likely D,5.0,3,6,0,100.0
25,Senator,Rhode Island,,44,Sheldon Whitehouse (D),,,64% D,Safe D,6.0,3,5,0,100.0
26,Senator,Tennessee,,47,TBA,,,65% R,Lean R,2.4,2,0,0,
27,Senator,Texas,,48,Ted Cruz (R),Beto O'Rourke (D),,57% R,Likely R,1.2,1,0,5,0.0
28,Senator,Utah,,49,TBA,,,65% R,Safe R,0.0,1,0,0,
29,Senator,Vermont,,50,Bernie Sanders (I),,,71% I,Safe D/I,6.0,3,6,2,75.0
30,Senator,Virginia,,51,Tim Kaine (D),,,53% D,Safe D,5.6,3,6,0,100.0
31,Senator,Washington,,53,Maria Cantwell (D),,,61% D,Safe D,6.0,3,8,0,100.0
32,Senator,West Virginia,,54,Joe Manchin (D),,,61% D,Tossup,3.0,2,2,3,40.0
33,Senator,Wisconsin,,55,Tammy Baldwin (D),,,51% D,Lean D,4.5,3,6,0,100.0
34,Senator,Wyoming,,56,John Barrasso (R),,,76% R,Safe R,0.0,1,0,5,0.0
35,House of Representatives,Arizona 1,0401,4,Tom O'Halleran (D),,,50.7% D,,4.25,3,1,0,100.0
36,House of Representatives,Arizona 2,0402,4,TBA,,,57.0% R,,4.0,2,0,0,
37,House of Representatives,Arizona 6,0406,4,David Schweikert (R),,,62.1% R,,0.6,1,0,3,0.0
38,House of Representatives,Arizona 8,0408,4,Debbie Lesko (R),,,52.6% R,,0.6,1,0,0,
39,House of Representatives,Arizona 9,0409,4,TBA,,,60.9% D,,5.2,3,0,0,
40,House of Representatives,Arkansas 2,0502,5,French Hill (R),,,58.4% R,,1.4,1,0,2,0.0
41,House of Representatives,California 4,0604,6,Tom McClintock (R),,,62.7% R,,0.8,1,0,0,
42,House of Representatives,California 7,0607,6,Ami Bera (D),,,51.2% D,,5.0,3,2,0,100.0
43,House of Representatives,California 10,0610,6,Jeff Denham (R),,,51.7% R,,2.75,2,0,3,0.0
44,House of Representatives,California 21,0621,6,David Valadao (R),,,56.7% R,,1.2,1,0,2,0.0
45,House of Representatives,California 22,0622,6,Devin Nunes (R),,,67.6% R,,0.2,1,0,4,0.0
46,House of Representatives,California 24,0624,6,Salud Carbajal (D),,,53.4% D,,5.6,3,2,0,100.0
47,House of Representatives,California 25,0625,6,Steve Knight (R),,,53.1% R,,3.0,2,0,2,0.0
48,House of Representatives,California 39,0639,6,TBA,,,57.2% R,,3.2,2,0,0,
49,House of Representatives,California 45,0645,6,Mimi Walters (R),,,58.6% R,,2.2,2,0,2,0.0
50,House of Representatives,California 48,0648,6,Dana Rohrabacher (R),,,58.3% R,,3.0,2,0,7,0.0
51,House of Representatives,California 49,0649,6,TBA,,,50.3% R,,3.6,2,0,0,
52,House of Representatives,California 50,0650,6,Duncan D. Hunter (R),,,63.5% R,,0.8,1,0,3,0.0
53,House of Representatives,Colorado 3,0803,8,Scott Tipton (R),,,54.6% R,,0.2,1,0,3,0.0
54,House of Representatives,Colorado 6,0806,8,Mike Coffman (R),,,50.9% R,,3.0,2,0,3,0.0
55,House of Representatives,Connecticut 5,0905,9,TBA,,,58.0% D,,5.6,3,0,0,
56,House of Representatives,Florida 6,1206,12,TBA,,,58.6% R,,0.4,1,0,0,
57,House of Representatives,Florida 7,1207,12,Stephanie Murphy (D),,,51.5% D,,4.6,3,2,0,100.0
58,House of Representatives,Florida 13,1213,12,Charlie Crist (D),,,51.9% D,,5.4,3,2,0,100.0
59,House of Representatives,Florida 15,1215,12,TBA,,,59.8% R,,0.6,1,0,0,
60,House of Representatives,Florida 16,1216,12,Vern Buchanan (R),,,59.8% R,,1.0,1,0,3,0.0
61,House of Representatives,Florida 18,1218,12,Brian Mast (R),,,53.6% R,,1.0,1,0,2,0.0
62,House of Representatives,Florida 25,1225,12,Mario Diaz-Balart (R),,,62.4% R,,0.6,1,0,4,0.0
63,House of Representatives,Florida 26,1226,12,Carlos Curbelo (R),,,53.0% R,,3.0,2,1,1,50.0
64,House of Representatives,Florida 27,1227,12,TBA,,,54.9% R,,4.0,2,0,0,
65,House of Representatives,Georgia 6,1306,13,Karen Handel (R),,,51.9% R,,1.6,1,0,1,0.0
66,House of Representatives,Georgia 7,1307,13,Rob Woodall (R),,,60.4% R,,1.0,1,1,2,33.0
67,House of Representatives,Illinois 6,1706,17,Peter Roskam (R),,,59.2% R,,2.5,2,1,2,33.0
68,House of Representatives,Illinois 12,1712,17,Mike Bost (R),,,54.3% R,,2.8,2,0,2,0.0
69,House of Representatives,Illinois 13,1713,17,Rodney Davis (R),,,59.7% R,,1.0,1,0,2,0.0
70,House of Representatives,Illinois 14,1714,17,Randy Hultgren (R),,,59.3% R,,1.2,1,0,3,0.0
71,House of Representatives,Indiana 2,1802,18,Jackie Walorski (R),,,59.3% R,,0.6,1,0,2,0.0
72,House of Representatives,Indiana 9,1809,18,Trey Hollingsworth (R),,,54.1% R,,0.2,1,0,2,0.0
73,House of Representatives,Iowa 1,1901,19,Rod Blum (R),,,53.7% R,,3.0,2,0,2,0.0
74,House of Representatives,Iowa 2,1902,19,Dave Loebsack (D),,,53.7% D,,5.8,3,3,0,100.0
75,House of Representatives,Iowa 3,1903,19,David Young (R),,,53.5% R,,1.8,1,0,2,0.0
76,House of Representatives,Kansas 2,2002,20,TBA,,,60.9% R,,2.4,2,0,0,
77,House of Representatives,Kansas 3,2003,20,Kevin Yoder (R),,,51.3% R,,2.2,2,0,3,0.0
78,House of Representatives,Kentucky 6,2106,21,Andy Barr (R),,,61.1% R,,2.0,2,0,2,0.0
79,House of Representatives,Maine 2,23-2,23,Bruce Poliquin (R),,,54.8% R,,2.0,2,0,2,0.0
80,House of Representatives,Michigan 1,2601,26,Jack Bergman (R),,,55.3% R,,0.6,1,0,2,0.0
81,House of Representatives,Michigan 6,2606,26,Fred Upton (R),,,58.7% R,,0.8,1,3,4,43.0
82,House of Representatives,Michigan 7,2607,26,Tim Walberg (R),,,55.1% R,,1.2,1,0,3,0.0
83,House of Representatives,Michigan 8,2608,26,Mike Bishop (R),,,56.0% R,,2.0,2,0,2,0.0
84,House of Representatives,Michigan 11,2611,26,TBA,,,52.9% R,,3.2,2,0,0,
85,House of Representatives,Minnesota 1,2701,27,TBA,,,50.3% D,,3.0,2,0,0,
86,House of Representatives,Minnesota 2,2702,27,Jason Lewis (R),,,47.0% R,,3.0,2,0,2,0.0
87,House of Representatives,Minnesota 3,2703,27,Erik Paulsen (R),,,56.7% R,,2.8,2,0,3,0.0
88,House of Representatives,Minnesota 7,2707,27,Collin Peterson (D),,,52.5% D,,4.8,3,0,6,0.0
89,House of Representatives,Minnesota 8,2708,27,TBA,,,50.2% D,,3.0,2,0,0,
90,House of Representatives,Missouri 2,2902,29,Ann Wagner (R),,,58.5% R,,0.4,1,0,2,0.0
91,House of Representatives,Montana at-large,3000,30,Greg Gianforte (R),,,49.7% R,,1.4,1,0,1,0.0
92,House of Representatives,Nebraska 2,3102,31,Don Bacon (R),,,48.9% R,,2.25,2,0,2,0.0
93,House of Representatives,Nevada 3,3203,32,TBA,,,47.2% D,,3.75,2,0,0,
94,House of Representatives,Nevada 4,3204,32,TBA,,,48.5% D,,4.4,3,0,0,
95,House of Representatives,New Hampshire 1,3301,33,TBA,,,44.3% D,,3.75,2,0,0,
96,House of Representatives,New Hampshire 2,3302,33,Ann McLane Kuster (D),,,49.8% D,,5.4,3,2,0,100.0
97,House of Representatives,New Jersey 2,3402,34,TBA,,,59.2% R,,4.0,2,0,0,
98,House of Representatives,New Jersey 3,3403,34,Tom MacArthur (R),,,59.3% R,,1.2,1,0,2,0.0
99,House of Representatives,New Jersey 5,3405,34,Josh Gottheimer (D),,,51.1% D,,4.6,3,2,0,100.0
100,House of Representatives,New Jersey 7,3407,34,Leonard Lance (R),,,54.1% R,,3.0,2,1,2,33.0
101,House of Representatives,New Jersey 11,3411,34,TBA,,,58.0% R,,3.0,2,0,0,
102,House of Representatives,New Mexico 2,3502,35,TBA,,,62.7% R,,1.8,1,0,0,
103,House of Representatives,New York 1,3601,36,Lee Zeldin (R),,,58.2% R,,1.2,1,0,2,0.0
104,House of Representatives,New York 11,3611,36,Dan Donovan (R),,,61.5% R,,1.8,1,2,0,100.0
105,House of Representatives,New York 18,3618,36,Sean Patrick Maloney (D),,,55.6% D,,5.6,3,2,0,100.0
106,House of Representatives,New York 19,3619,36,John Faso (R),,,54.0% R,,3.0,2,0,2,0.0
107,House of Representatives,New York 22,3622,36,Claudia Tenney (R),,,46.5% R,,3.0,2,0,2,0.0
108,House of Representatives,New York 23,3623,36,Tom Reed (R),,,57.6% R,,0.2,1,0,3,0.0
109,House of Representatives,New York 24,3624,36,John Katko (R),,,60.5% R,,1.0,1,0,3,0.0
