STATE,DISTRICT,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES
Alabama,S,(I),"Shelby, Richard",,R,Unopposed,1242200
Alabama,S,,"Sowell, Wayne ",,D,Unopposed,595018
Alabama,S,,Scattered,,W,,1848
Alabama,S,,,Senate Votes:,,n/a,1839066
Alaska,S,(I),"Murkowski, Lisa",,R,45710,149773
Alaska,S,,"Miller, Mike",,R,29313,
Alaska,S,,"Shea, Wev",,R,2857,
Alaska,S,,"Dore, Jim",,R,748,
Alaska,S,,,Party Votes:,R,78628,
Alaska,S,,"Knowles, Tony",,D,40881,140424
Alaska,S,,"Wright, Don R.",,D,1080,
Alaska,S,,"Obermeyer, Theresa Nangle",,D,1045,
Alaska,S,,,Party Votes:,D,43006,
Alaska,S,,"Millican, Marc J.",,N,,8885
Alaska,S,,"Sanders, Jerry ",,AKI,1953,3785
Alaska,S,,"DeNardo, Daniel",,AKI,501,
Alaska,S,,,Party Votes:,AKI,2454,
Alaska,S,,"Sykes, Jim",,GRN,2868,3053
Alaska,S,,,Party Votes:,GRN,2868,
Alaska,S,,"Kohlhaas, Scott A.",,LBT,775,1240
Alaska,S,,,Party Votes:,LBT,775,
Alaska,S,,"Gianoutsos, Ted ""Big""",,N,,732
Alaska,S,,Scattered,,W,,423
Alaska,S,,,Senate Votes:,,127731,308315
Arizona,S,(I),"McCain, John",,R,331720,1505372
Arizona,S,,,Party Votes:,R,331720,
Arizona,S,,"Starky, Stuart ",,D,173540,404507
Arizona,S,,,Party Votes:,D,173540,
Arizona,S,,"Hancock, Ernest",,LBT,2756,51798
Arizona,S,,,Party Votes:,LBT,2756,
Arizona,S,,,Senate Votes:,,508016,1961677
Arkansas,S,(I),"Lincoln, Blanche L.",,D,231037,580973
Arkansas,S,,"Burks, Lisa",,D,47010,
Arkansas,S,,,Party Votes:,D,278047,
Arkansas,S,,"Holt, Jim",,R,37254,458036
Arkansas,S,,"Lee, Andy",,R,10709,
Arkansas,S,,"Clampitt, Rosemarie",,R,6078,
Arkansas,S,,,Party Votes:,R,54041,
Arkansas,S,,"Schwarz, Glenn",,W,,212
Arkansas,S,,"Mason, Gene",,W,,128
Arkansas,S,,,Senate Votes:,,332088,1039349
California,S,(I),"Boxer, Barbara",,D,2566298,6955728
California,S,,,Party Votes:,D,2566298,
California,S,,"Jones, Bill",,R,1015747,4555922
California,S,,"Marin, Rosario",,R,454176,
California,S,,"Kaloogian, Howard",,R,253341,
California,S,,"Casey, Toni",,R,142080,
California,S,,"Stoen, Tim ",,R,124938,
California,S,,"Stewart, James",,R,78264,
California,S,,"Hatch, Barry L.",,R,71241,
California,S,,"Van Zandt, John M.",,R,56925,
California,S,,"Ball, Danney",,R,37745,
California,S,,"Quraishi, Bill",,R,32515,
California,S,," Longoria, Louis E. ",,W(R),28,
California,S,,,Party Votes:,R,2267000,
California,S,,"Feinland, Marsha ",,PFP,4864,243846
California,S,,,Party Votes:,PFP,4864,
California,S,,"Gray, James P. ""Jim""",,LBT,13656,216522
