,Primary Winner,Primary Loser Vote,STATE,PARTY,Predicted Turnout
0,314108.0,76128.0,Arizona,D,1234519.4121726018
1,263734.0,235070.0,Arizona,R,1123673.3898834765
2,2031967.0,844512.0,California,D,4926917.830164576
3,398477.0,1174911.0,California,R,1455552.3732911209
5,99624.0,30531.0,Connecticut,R,349934.05439598666
7,1452952.0,186636.0,Florida,R,3808679.7837211904
9,6365.0,20461.0,Hawaii,R,88189.69382348072
11,208505.0,297987.0,Indiana,R,1066639.8085117731
14,450890.0,109587.0,Maryland,D,1410571.0386064812
15,49428.0,119619.0,Maryland,R,577706.060151836
17,516345.0,428105.0,Michigan,R,1640348.9868830282
18,556430.0,25009.0,Minnesota,D,1551858.7237333215
19,201089.0,88264.0,Minnesota,R,847253.7865996378
20,27358.0,58351.0,Mississippi,D,135630.14541393405
21,128309.0,26713.0,Mississippi,R,356081.4142487
22,500162.0,105341.0,Missouri,D,1574595.8797754438
23,389006.0,274547.0,Missouri,R,1249276.809733039
25,51549.0,100934.0,Montana,R,188657.56226355478
26,57654.0,32826.0,Nebraska,D,219122.28783696325
27,127083.0,40562.0,Nebraska,R,401302.4051363205
28,110530.0,32799.0,Nevada,D,309183.26877332333
29,99472.0,42703.0,Nevada,R,329264.2371625455
30,259875.0,157983.0,New Jersey,D,1236544.280710731
31,167121.0,55274.0,New Jersey,R,1053714.3211551274
37,60998.0,8449.0,North Dakota,R,235642.70129640235
39,360475.0,400333.0,Ohio,R,1347059.7500985416
41,429888.0,251446.0,Pennsylvania,R,1493901.6934039304
42,348301.0,32350.0,Tennessee,D,1276311.394450785
43,610883.0,112231.0,Tennessee,R,1487676.2144152198
44,641324.0,396455.0,Texas,D,2653765.861121226
45,1317450.0,226224.0,Texas,R,2908525.512523267
47,217049.0,85622.0,Utah,R,458904.9627379022
48,63678.0,3764.0,Vermont,D,221381.1603974531
49,9832.0,15026.0,Vermont,R,117446.50194930358
51,136544.0,167891.0,Virginia,R,967509.1951694775
52,772884.0,47835.0,Washington,D,3019216.468091041
53,338174.0,179440.0,Washington,R,1297654.1264289876
54,111589.0,48302.0,West Virginia,D,334011.1468266058
55,47571.0,88649.0,West Virginia,R,219874.75116131752
57,217023.0,226344.0,Wisconsin,R,1110862.4975943167
59,74018.0,40024.0,Wyoming,R,258631.3570394251
