STATE,DISTRICT,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES
Alabama,S,(I),"Shelby, Richard C.",,R,405398,968181
Alabama,S,,"Moser, N.C. ""Clint""",,R,75190,
Alabama,S,,,Party Votes:,R,480588,
Alabama,S,,"Barnes, William G.",,D,160993,515619
Alabama,S,,"De Moore, Simone D.",,D,103942,
Alabama,S,,,Party Votes:,D,264935,
Alabama,S,,Scattered,,W,,1699
Alabama,S,,,Total State Votes:,,745523,1485499
Alaska,S,(I),"Murkowski, Lisa ",,R/W***,53872,92931
Alaska,S,,"Miller, Joe",,R,55878,90839
Alaska,S,,,Party Votes:,R,109750,
Alaska,S,,"McAdams, Scott T.",,D,18035,60045
Alaska,S,,"Kern, Jacob Seth",,D,6913,
Alaska,S,,"Vondersaar, Frank J.",,D,5339,
Alaska,S,,,Party Votes:,D,30287,
Alaska,S,,Murkowski,,W (Challenged Counted),,8160
Alaska,S,,Murkowski,,W (Challenged NOT Counted),,2035
Alaska,S,,"Haase, Fredrick ""David""",,LIB,5793,1459
Alaska,S,,,Party Votes:,LIB,5793,
Alaska,S,,"Carter, Tim",,NAF,,927
Alaska,S,,Other - Misc. Names,,W,,602
Alaska,S,,"Gianoutsos, Ted",,NAF,,458
Alaska,S,,"Miller, Joe",,W,,21
Alaska,S,,"Hill, Sid",,W,,13
Alaska,S,,McAdams,,W,,8
Alaska,S,,"Marin Jr., Edward D.",,W,,6
Alaska,S,,"Bradley, Red K.",,W,,3
Alaska,S,,"Cummins, Guy A.",,W,,2
Alaska,S,,"Lackey, Lisa M.",,W,,2
Alaska,S,,"McGahan, Richard",,W,,2
Alaska,S,,"Moser, Marvin Roger",,W,,2
Alaska,S,,"Perry, Karen",,W,,2
Alaska,S,,"Ransom, Eileen M.",,W,,2
Alaska,S,,"Whittaker, Jed",,W,,2
Alaska,S,,"Ames, Michael",,W,,1
Alaska,S,,"Austin, Kevin",,W,,1
Alaska,S,,"Beeman, David E.",,W,,1
Alaska,S,,"Beeman, Vicky L.",,W,,1
Alaska,S,,"Boyle, David",,W,,1
