Date,State,Candidate Name,Number of Votes,Percentage,(I),Party,,,,,
6-Mar,Texas,Beto O'Rourke,641324,61.80%,0,D,,,,,
6-Mar,Texas,Sema Hernandez,246308,23.7,0,D,,,,,
6-Mar,Texas,Edward Kimbrough,150147,14.5,0,D,,,,,
6-Mar,Texas,Ted Cruz,1317450,85.30%,0,R,,,,,
6-Mar,Texas,Mary Miller,94451,6.1,0,R,,,,,
6-Mar,Texas,Bruce Jacobson,64604,4.2,0,R,,,,,
6-Mar,Texas,Stefano de Stefano,44327,2.9,0,R,,,,,
6-Mar,Texas,Geraldine Sam,22842,1.5,0,R,,,,,
8-May,Indiana,Joe Donelly,0,0,1,D,,,,,
8-May,Indiana,Mike Braun,208505,41.20%,0,R,,,,,
8-May,Indiana,Todd Rokita,151906,30,0,R,,,,,
8-May,Indiana,Luke Messer,146081,28.8,0,R,,,,,
8-May,Ohio,Sherrod Brown,0,0,1,D,,,,,
8-May,Ohio,James B. Renacci,360475,47.40%,0,R,,,,,
8-May,Ohio,Mike Gibbons,241109,31.7,0,R,,,,,
8-May,Ohio,Melissa Ackison,99455,13.1,0,R,,,,,
8-May,Ohio,Dan Kiley,30323,4,0,R,,,,,
8-May,Ohio,Don Eckhart,29446,3.9,0,R,,,,,
8-May,West Virginia,Joe Manchin,111589,69.80%,1,D,,,,,
8-May,West Virginia,Paula Jean Swearengin,48302,30.2,0,D,,,,,
8-May,West Virginia,Patrick Morrisey,47571,34.90%,0,R,,,,,
8-May,West Virginia,Evan Jenkins,39888,29.3,0,R,,,,,
8-May,West Virginia,Don Blankenship,27153,19.9,0,R,,,,,
8-May,West Virginia,Thomas Willis,13322,9.8,0,R,,,,,
8-May,West Virginia,Bo Copley,4206,3.1,0,R,,,,,
8-May,West Virginia,Jack Newbrough,4080,3,0,R,,,,,
15-May,Pennsylvania,Bob Casey,0,0,1,D,,,,,
15-May,Pennsylvania,Lou Barletta,429888,63.10%,0,R,,,,,
15-May,Pennsylvania,Jim Christiana,251446,36.9,0,R,,,,,
15-May,Nebraska,Jane Raybould,57654,63.70%,0,D,,,,,
15-May,Nebraska,Chris Janicek,18153,20.1,0,D,,,,,
15-May,Nebraska,Frank Svoboda,10356,11.4,0,D,,,,,
15-May,Nebraska,Larry Marvin,4317,4.8,0,D,,,,,
15-May,Nebraska,Deb Fischer,127083,75.80%,1,R,,,,,
15-May,Nebraska,Todd Watson,19483,11.6,0,R,,,,,
15-May,Nebraska,Jack Heidel,9305,5.6,0,R,,,,,
15-May,Nebraska,Jeffrey Stein,6343,3.8,0,R,,,,,
15-May,Nebraska,Dennis Macek,5431,3.2,0,R,,,,,
5-Jun,California,Dianne Feinstein,2031967,44.20%,1,D,,,,,
5-Jun,California,Kevin de León,528043,11.5,0,D,,,,,
5-Jun,California,James Bradley,398477,8.7,0,R,,,,,
5-Jun,California,Arun Bhumitra,248297,5.4,0,R,,,,,
5-Jun,California,Paul Taylor,231180,5,0,R,,,,,
5-Jun,California,Erin Cruz,185638,4,0,R,,,,,
5-Jun,California,Tom Palzer,141030,3.1,0,R,,,,,
5-Jun,California,Rocky De La Fuente,98025,2.1,0,R,,,,,
5-Jun,California,Alison Hartson,93067,2,0,D,,,,,
5-Jun,California,Pat Harris,84179,1.8,0,D,,,,,
5-Jun,California,John Crew,67510,1.5,0,R,,,,,
5-Jun,California,Patrick Little,62830,1.4,0,R,,,,,
5-Jun,California,Kevin Mottus,62785,1.4,0,R,,,,,
5-Jun,California,Jerry Laws,49277,1.1,0,R,,,,,
5-Jun,California,Derrick Reid,40178,0.9,0,Libertarian,,,,,
5-Jun,California,Adrienne Edwards,37305,0.8,0,D,,,,,
5-Jun,California,Douglas Pierce,28809,0.6,0,D,,,,,
5-Jun,California,Mario Nabliba,28339,0.6,0,R,,,,,
5-Jun,California,Donnie Turner,21206,0.5,0,D,,,,,
5-Jun,California,David Hildebrand,20316,0.4,0,D,,,,,
5-Jun,California,Herbert Peters,18758,0.4,0,D,,,,,
5-Jun,California,David Moore,16733,0.4,0,Independent,,,,,
5-Jun,California,Ling Ling Shi,16606,0.4,0,Independent,,,,,
5-Jun,California,John Parker,14578,0.3,0,Peace and Freedom,,,,,
5-Jun,California,Lee Olson,14307,0.3,0,Independent,,,,,
5-Jun,California,Gerald Plummer,12829,0.3,0,D,,,,,
5-Jun,California,Jason Hanania,12279,0.3,0,Independent,,,,,
5-Jun,California,Don Grundmann,10367,0.2,0,Independent,,,,,
5-Jun,California,Colleen Fernald,9531,0.2,0,Independent,,,,,
5-Jun,California,Rash Ghosh,8091,0.2,0,Independent,,,,,
