STATE,D,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES ,GE WINNER INDICATOR
Arizona,S,,"Flake, Jeff",,R,357360,1104457,W
Arizona,S,,"Cardon, Wil",,R,110150,,
Arizona,S,,"Van Steenwyk, Clair",,R,29159,,
Arizona,S,,"Hackbarth, Bryan",,R,19174,,
Arizona,S,,"Lyon, John",,W(R),126,,
Arizona,S,,"Acle, Luis",,W(R),56,,
Arizona,S,,,Party Votes:,R,516025,,
Arizona,S,,"Carmona, Richard",,D,289881,1036542,
Arizona,S,,,Party Votes:,D,289881,,
Arizona,S,,"Victor, Marc",,W(LIB)/LIB,591,102109,
Arizona,S,,,Party Votes:,LIB,591,,
Arizona,S,,"Watts, Stephen",,W,x,290,
Arizona,S,,"Manspeaker, Don",,W,,24,
Arizona,S,,,Total State Votes:,,806497,2243422,
California,S,(I),"Feinstein, Dianne",,D,2392822,7864624,W
California,S,,"Emken, Elizabeth",,R,613613,4713887,
California,S,,"Hughes, Dan",,R,323840,,
California,S,,"Williams, Rick",,R,157946,,
California,S,,"Taitz, Orly",,R,154781,,
California,S,,"Jackson, Dennis",,R,137120,,
California,S,,"Conlon, Greg",,R,135421,,
California,S,,"Ramirez, Al",,R,109399,,
California,S,,"Lightfoot, Gail K.",,LIB,101648,,
California,S,,"Stewart, Diane",,D,97782,,
California,S,,"Strimling, Mike",,D,97024,,
California,S,,"Levitt, David Alex",,D,76482,,
California,S,,"Braun, Oscar Alejandro",,R,75842,,
California,S,,"Feinland, Masha ",,PAF,57720,,
California,S,,"Lauten, Robert ",,R,56524,,
California,S,,"Fernald, Colleen Shea",,D,51623,,
California,S,,"Krampe, Donald",,R,39035,,
California,S,,"Grundmann, Don J.",,AIP,33037,,
California,S,,"Konopik, Dirk Allen",,R,29997,,
California,S,,"Boruff, John",,R,29357,,
California,S,,"Shah, Nak",,D,27203,,
California,S,,"Gloria, Rogelio T.",,R,22529,,
California,S,,"Shifren, Nachum ",,R,21762,,
California,S,,"Ali, Kabiruddin Karim",,PAF,12269,,
California,S,,"Price, Linda R.",,W(R),25,,
California,S,,,Total State Votes:,,4854801,12578511,
Connecticut,S,,"Murphy, Christopher S.",,WF,,35778,W
Connecticut,S,,"Murphy, Christopher S.",,D*,94424,792983,W
Connecticut,S,,"Bysiewicz, Susan",,D,47109,,
Connecticut,S,,"Oakes, Matthew John",,D,,,
Connecticut,S,,"Salcedo, Sylvester",,D,,,
Connecticut,S,,"Tong, William M.",,D,,,
Connecticut,S,,"Whitnum, L. Lee",,D,,,
Connecticut,S,,,Party Votes:,D,141533,,
Connecticut,S,,"McMahon, Linda E.",,IP,,46520,
Connecticut,S,,"McMahon, Linda E.",,R*,82646,604569,
Connecticut,S,,"Shays, Christopher",,R,30802,,
Connecticut,S,,"Hill, Brian Keith",,R,,,
Connecticut,S,,"Lumaj, Peter",,R,,,
Connecticut,S,,"Westby, Kie",,R,,,
Connecticut,S,,,Party Votes:,R,113448,,
Connecticut,S,,"Passarelli, Paul",,LIB,,25045,
Connecticut,S,,"Coleman, Matthew",,W,,6414,
Connecticut,S,,"Adams, Michael D.",,W,,388,
Connecticut,S,,"Russell, Jeff",,W,,40,
Connecticut,S,,"Traceski, John",,W,,19,
Connecticut,S,,"Vasile, Michael",,W,,8,
Connecticut,S,,,Total State Votes:,,254981,1511764,
Delaware,S,(I),"Carper, Thomas R.",,D,43587,265415,W
Delaware,S,,"Spanarelli, Keith",,D,6028,,
Delaware,S,,,Party Votes:,D,49615,,
Delaware,S,,"Wade, Kevin",,R,Unopposed,115700,
Delaware,S,,"Pires, Alexander",,IDE, ,15300,
Delaware,S,,"Groff, Andrew Richard",,GRE, ,3191,
Delaware,S,,"Ruzicka, Richard Thomas",,W,,1,
Delaware,S,,,,,,,
Delaware,S,,,Total State Votes:,,49615,399607,
Florida,S,(I),"Nelson, Bill ",,D,690112,4523451,W
