iter	RMSE
0	1461839.077
1	1435107.656
2	1406950.195
3	1382213.417
4	1359868.764
5	1336182.392
6	1313211.451
7	1291195.205
8	1269065.533
9	1250713.893
10	1229998.382
11	1211799.159
12	1192990.971
13	1175138.098
14	1158131.798
15	1140992.689
16	1124422.612
17	1109178.296
18	1094532.611
19	1080670.74
20	1067925.42
21	1055640.229
22	1042734.311
23	1031975.732
24	1021857.87
25	1010463.297
26	996731.3496
27	987544.4932
28	976466.6804
29	965495.069
30	954482.3264
31	946007.7746
32	934444.1429
33	924791.8843
34	916883.3535
35	906913.9243
36	899185.6607
37	889580.2617
38	882789.6822
39	875939.4333
40	867387.6948
41	859287.6635
42	850849.7009
43	843885.1779
44	838653.014
45	831259.5151
46	826551.7022
47	820768.8191
48	818657.0144
49	814153.4306
50	809310.7442
51	803929.4465
52	797647.5514
53	792237.3095
54	784746.3305
55	779043.5447
56	775911.7095
57	768702.3098
58	765726.7653
59	761072.9578
60	756456.8864
61	750549.0111
62	747981.2822
63	745759.1038
64	743450.3084
65	741348.5081
66	737094.0764
67	733549.3583
68	729447.5013
69	727361.7771
70	723979.6138
71	723296.0733
72	717769.8227
73	714013.8205
74	710356.8325
75	707458.4593
76	704099.6688
77	700239.3672
78	698583.6016
79	697688.9311
80	693484.5217
81	692284.445
82	689356.8348
83	684875.4849
84	683731.4995
85	682465.8023
86	681481.4486
87	680520.5804
88	677850.9195
89	673787.3455
90	671622.7544
91	670746.7324
92	669762.2155
93	666256.5548
94	664456.4544
95	663624.6019
96	660647.1267
97	660098.9262
98	659257.999
99	657076.2919
100	656492.1236
101	656031.3612
102	655568.8251
103	654019.459
104	651754.5048
105	649979.9245
106	649578.4951
107	649230.1667
108	647337.2793
109	646950.3605
110	645252.7913
111	643980.8136
112	640756.1792
113	638437.7039
114	637336.9917
115	636174.9144
116	633732.0497
117	632893.0872
118	631447.3957
119	631118.4106
120	630822.2484
121	629342.0632
122	628678.3859
123	628468.2797
124	628168.1885
125	627814.0072
126	625579.2203
127	624722.6206
128	624102.8747
129	622925.9004
130	622523.2678
131	622279.6458
132	620213.7011
133	619047.453
134	618923.8112
135	618558.6512
136	618273.4276
137	616595.6886
138	615832.2727
139	613310.8248
140	613189.9868
141	613073.4944
142	611007.2713
143	610073.0945
144	609924.9813
145	608437.6406
146	607301.5858
147	606394.9318
148	605783.8988
149	604461.2702
150	603079.7525
151	602726.8461
152	600988.1919
153	600740.4076
154	600270.5222
155	600037.2936
156	599947.9281
157	599796.2181
158	597904.1673
159	596276.7651
160	595659.3252
161	594832.9382
162	593058.5452
163	592760.9148
164	592176.2126
165	591568.9489
166	590901.5124
167	590736.0915
168	589303.288
169	588952.5905
170	588853.9017
171	588283.0462
172	588265.5114
173	586669.6498
174	586529.422
175	585989.9732
176	585971.1281
177	585949.777
178	585493.0884
179	584878.5598
180	584186.6687
181	584056.4154
182	583451.4902
183	582790.1692
184	582769.3305
185	581560.1898
186	581222.0295
187	580276.1519
188	578791.5143
189	577936.2693
190	577425.0211
191	576362.1533
192	576059.3973
193	576042.9236
194	576003.3651
195	575950.745
196	575192.3197
197	574890.9109
198	573505.102
199	572804.8275
200	572596.6817
201	572233.057
202	571297.0978
203	570772.3961
204	569470.7388
205	569443.9603
206	569398.8525
207	569053.8643
208	568099.465
209	568058.9268
210	566888.4979
211	566052.9366
212	564901.2354
213	564755.6106
214	563914.3949
215	563880.6458
216	563380.3114
217	563341.8694
218	562438.2255
219	561907.4419
220	561781.4037
221	561097.6583
222	561081.2463
223	560379.7345
224	559603.5672
225	558978.3421
226	558774.799
227	558545.6552
228	558536.5574
229	558023.9994
230	557914.117
231	557508.2237
232	557275.3445
233	556724.9403
234	556054.7304
235	555579.358
236	555260.3514
237	554799.5904
238	554356.0731
239	554281.7228
240	554257.8709
241	554231.2205
242	553575.6046
243	553046.0844
244	552314.7566
245	552194.193
246	551869.6133
247	551345.453
248	551227.489
249	550603.4262
250	550292.0594
251	549926.7292
252	549789.0103
253	549773.6319
254	549530.2342
255	549213.7023
256	548925.6669
257	548444.1371
258	548070.9411
259	548064.2634
260	547756.6778
261	547368.9593
262	547327.1544
263	547139.5449
264	546850.1135
265	546842.145
266	546830.6119
267	546678.6875
268	546487.2021
269	546242.213
270	546139.7532
271	545572.9
272	545295.5789
273	544878.5036
274	544422.9025
275	544417.1435
276	544222.5299
