iter	Passed	Remaining
0	3	3079
1	5	2833
2	8	2740
3	10	2703
4	12	2509
5	15	2518
6	17	2446
7	19	2384
8	21	2386
9	23	2324
10	25	2297
11	28	2322
12	30	2281
13	32	2311
14	34	2282
15	36	2270
16	39	2293
17	41	2270
18	43	2261
19	45	2236
20	48	2257
21	50	2237
22	52	2219
23	54	2208
24	56	2205
25	59	2221
26	62	2240
27	64	2241
28	66	2227
29	69	2239
30	71	2224
31	73	2216
32	76	2235
33	79	2252
34	81	2233
35	83	2228
36	86	2240
37	88	2249
38	91	2253
39	93	2248
40	96	2263
41	99	2280
42	101	2261
43	105	2287
44	107	2284
45	110	2289
46	113	2302
47	116	2313
48	119	2315
49	120	2293
50	122	2273
51	123	2253
52	124	2226
53	126	2208
54	128	2203
55	130	2202
56	132	2196
57	134	2179
58	135	2167
59	137	2147
60	138	2137
61	140	2125
62	142	2113
63	142	2090
64	144	2072
65	145	2055
66	146	2036
67	147	2018
68	148	2007
69	150	1996
70	151	1981
71	152	1961
72	153	1952
73	155	1942
74	156	1934
75	158	1925
76	159	1917
77	161	1907
78	162	1895
79	164	1887
80	165	1879
81	166	1864
82	167	1849
83	168	1841
84	170	1832
85	171	1824
86	172	1813
87	173	1800
88	175	1794
89	176	1788
90	178	1783
91	180	1777
92	181	1766
93	182	1761
94	183	1749
95	184	1741
96	186	1734
97	188	1733
98	191	1742
99	194	1749
100	197	1755
101	198	1751
102	200	1747
103	203	1754
104	206	1756
105	209	1765
106	212	1772
107	213	1767
108	217	1774
109	220	1782
110	223	1789
111	225	1784
112	226	1780
113	228	1774
114	229	1768
115	230	1759
116	232	1753
117	233	1747
118	235	1744
119	237	1740
120	238	1731
121	239	1723
122	240	1714
123	241	1708
124	243	1701
125	244	1696
126	246	1692
127	247	1687
128	249	1682
129	250	1677
130	252	1676
131	254	1672
132	255	1668
133	257	1663
134	258	1654
135	259	1649
136	261	1646
137	263	1642
138	264	1638
139	266	1634
140	267	1630
141	269	1627
142	270	1622
143	272	1619
144	273	1615
145	275	1611
146	276	1607
147	278	1603
148	279	1597
149	281	1593
150	282	1589
151	283	1583
152	284	1576
153	286	1571
154	287	1568
155	289	1565
156	290	1561
157	292	1558
158	294	1555
159	295	1550
160	296	1547
161	298	1544
162	300	1543
163	302	1539
164	303	1537
165	305	1533
166	306	1530
167	308	1526
168	309	1522
169	311	1518
170	312	1515
171	314	1512
172	314	1505
173	316	1502
174	318	1499
175	319	1496
176	320	1490
177	321	1483
178	322	1481
179	324	1478
180	325	1473
181	327	1470
182	328	1467
183	330	1464
184	331	1459
185	332	1456
186	333	1451
187	335	1448
188	337	1446
189	338	1443
190	340	1441
191	341	1437
192	343	1435
193	344	1430
194	345	1428
195	347	1424
196	348	1422
197	350	1419
198	352	1417
199	353	1414
200	354	1409
201	356	1406
