STATE,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES ,
Arizona,,,,,,,
Arizona,,"Flake, Jeff",,R,357360,1104457,
Arizona,,"Cardon, Wil",,R,110150,,
Arizona,,"Van Steenwyk, Clair",,R,29159,,
Arizona,,"Hackbarth, Bryan",,R,19174,,
Arizona,,"Lyon, John",,W(R),126,,
Arizona,,"Acle, Luis",,W(R),56,,
Arizona,,,Party Votes:,R,516025,,
Arizona,,"Carmona, Richard",,D,289881,1036542,
Arizona,,,Party Votes:,D,289881,,
Arizona,,"Victor, Marc",,W(LIB)/LIB,591,102109,
Arizona,,,Party Votes:,LIB,591,,
Arizona,,"Watts, Stephen",,W,,290,
Arizona,,"Manspeaker, Don",,W,,24,
Arizona,,,Total State Votes:,,806497,2243422,
,,,,,,,
California,,,,,,,
California,(I),"Feinstein, Dianne",,D,2392822,7864624,
California,,"Emken, Elizabeth",,R,613613,4713887,
California,,"Hughes, Dan",,R,323840,,
California,,"Williams, Rick",,R,157946,,
California,,"Taitz, Orly",,R,154781,,
California,,"Jackson, Dennis",,R,137120,,
California,,"Conlon, Greg",,R,135421,,
California,,"Ramirez, Al",,R,109399,,
California,,"Lightfoot, Gail K.",,LIB,101648,,
California,,"Stewart, Diane",,D,97782,,
California,,"Strimling, Mike",,D,97024,,
California,,"Levitt, David Alex",,D,76482,,
California,,"Braun, Oscar Alejandro",,R,75842,,
California,,"Feinland, Masha ",,PAF,57720,,
California,,"Lauten, Robert ",,R,56524,,
California,,"Fernald, Colleen Shea",,D,51623,,
California,,"Krampe, Donald",,R,39035,,
California,,"Grundmann, Don J.",,AIP,33037,,
California,,"Konopik, Dirk Allen",,R,29997,,
California,,"Boruff, John",,R,29357,,
California,,"Shah, Nak",,D,27203,,
California,,"Gloria, Rogelio T.",,R,22529,,
California,,"Shifren, Nachum ",,R,21762,,
California,,"Ali, Kabiruddin Karim",,PAF,12269,,
California,,"Price, Linda R.",,W(R),25,,
California,,,Total State Votes:,,4854801,12578511,
,,,,,,,
Connecticut,,,,,,,
Connecticut,,"Murphy, Christopher S.",,WF,,35778,
Connecticut,,"Murphy, Christopher S.",,D*,94424,792983,
Connecticut,,"Bysiewicz, Susan",,D,47109,,
Connecticut,,"Oakes, Matthew John",,D,,,
Connecticut,,"Salcedo, Sylvester",,D,,,
Connecticut,,"Tong, William M.",,D,,,
Connecticut,,"Whitnum, L. Lee",,D,,,
Connecticut,,,Party Votes:,D,141533,,
Connecticut,,"McMahon, Linda E.",,IP,,46520,
Connecticut,,"McMahon, Linda E.",,R*,82646,604569,
Connecticut,,"Shays, Christopher",,R,30802,,
Connecticut,,"Hill, Brian Keith",,R,,,
Connecticut,,"Lumaj, Peter",,R,,,
Connecticut,,"Westby, Kie",,R,,,
Connecticut,,,Party Votes:,R,113448,,
Connecticut,,"Passarelli, Paul",,LIB,,25045,
Connecticut,,"Coleman, Matthew",,W,,6414,
Connecticut,,"Adams, Michael D.",,W,,388,
Connecticut,,"Russell, Jeff",,W,,40,
Connecticut,,"Traceski, John",,W,,19,
Connecticut,,"Vasile, Michael",,W,,8,
Connecticut,,,Total State Votes:,,254981,1511764,
,,,,,,,
Delaware,,,,,,,
Delaware,(I),"Carper, Thomas R.",,D,43587,265415,
Delaware,,"Spanarelli, Keith",,D,6028,,
Delaware,,,Party Votes:,D,49615,,
Delaware,,"Wade, Kevin",,R,Unopposed,115700,
Delaware,,"Pires, Alexander",,IDE, ,15300,
Delaware,,"Groff, Andrew Richard",,GRE, ,3191,
Delaware,,"Ruzicka, Richard Thomas",,W,,1,
Delaware,,,,,,,
Delaware,,,Total State Votes:,,49615,399607,
,,,,,,,
Florida,,,,,,,
Florida,(I),"Nelson, Bill ",,D,690112,4523451,
Florida,,"Burkett, Glen A.",,D,185629,,
Florida,,,Party Votes:,D,875741,,
Florida,,"Mack, Connie ",,R,661570,3458267,
Florida,,"Weldon, Dave ",,R,226901,,
Florida,,"McCalister, Mike ",,R,156158,,
Florida,,"Stuart, Marielena",,R,82390,,
Florida,,,Party Votes:,R,1127019,,
Florida,,"Gaylor, Bill ",,NPA,,126079,
Florida,,"Borgia, Chris ",,NPA,,82089,
Florida,,"Craine, Naomi",,W,,19,
Florida,,"Scott, Lawrence Sidney",,W,,18,
Florida,,"Monroe, Robert",,W,,12,
Florida,,"Blass, Piotr",,W,,9,
Florida,,"Long, Lionel ",,W,,2,
Florida,,,Total State Votes:,,2002760,8189946,
,,,,,,,
Hawaii,,,,,,,
Hawaii,,"Hirono, Mazie",,D,134745,269489,
Hawaii,,"Case, Ed",,D,95553,,
Hawaii,,"Reyes, Arturo Pacheco (Art)",,D,1720,,
Hawaii,,"Gillespie, Michael D.",,D,1104,,
Hawaii,,"Gimbernat, Antonio",,D,517,,
Hawaii,,,Party Votes:,D,233639,,
Hawaii,,"Lingle, Linda",,R,44252,160994,
Hawaii,,"Carroll, John",,R,2900,,
Hawaii,,"Roco, John P.",,R,545,,
Hawaii,,"Collins, Charles Augustine",,R,366,,
Hawaii,,"Pirkowski, Eddie",,R,232,,
Hawaii,,,Party Votes:,R,48295,,
Hawaii,,"Beasley, Heath",,N,827,,
Hawaii,,,Party Votes:,N,827,,
Hawaii,,,Total State Votes:,,282761,430483,
,,,,,,,
Idaho,,DISTRICT 1,,,,,
Indiana,,,,,,,
Indiana,,"Donnelly, Joe ",,D,207715,1281181,
Indiana,,,Party Votes:,D,207715,,
Indiana,,"Mourdock, Richard E.",,R,400321,1133621,
Indiana,(I),"Lugar, Richard G. ",,R,261285,,
Indiana,,,Party Votes:,R,661606,,
Indiana,,"Horning, Andrew ""Andy""",,LIB,*,145282,
Indiana,,"Johnson Junior, James L.",,W,,15,
Indiana,,"Willis, Amy J.",,W,,3,
Indiana,,,Total State Votes:,,869321,2560102,
,,,,,,,
Iowa,,DISTRICT 1,,,,,
Maine,,,,,,,
Maine,,"King, Angus",,IFM, ,370580,
Maine,,"Summers, Charles E., Jr.",,R,20732,215399,
Maine,,"Poliquin, Bruce L.",,R,16064,,
Maine,,"Bennett, Richard A.",,R,12576,,
Maine,,"D'Amboise, L. Scott",,R,7722,,
Maine,,"Schneider, William J.",,R,6875,,
Maine,,"Plowman, Debra D.",,R,6309,,
Maine,,"Stoddard, Michael",,W(R),68,,
Maine,,,Party Votes:,R,70346,,
Maine,,"Dill, Cynthia Ann",,D,22974,92900,
Maine,,"Dunlap, Matthew G.",,D,18546,,
Maine,,"Hinck, Jon",,D,6414,,
Maine,,"Pollard, Justin Benjamin",,D,4007,,
Maine,,,Party Votes:,D,51941,,
Maine,,"Woods, Stephen M.",,IND,,10289,
Maine,,"Dalton, Danny Francis",,NON,,5807,
Maine,,"Dodge, Andrew Ian",,IFL,,5624,
Maine,,,Total State Votes:,,122287,700599,
,,,,,,,
Maryland,,DISTRICT 1,,,,,
Maryland,,,,,,,
Maryland,(I),"Cardin, Ben",,D,240704,1474028,
Maryland,,"Muse, C. Anthony",,D,50807,,
Maryland,,"Garner, Chris",,D,9274,,
Maryland,,"Blagmon, Raymond Levi",,D,5909,,
Maryland,,"Cusick, J. P.",,D,4778,,
Maryland,,"Taylor, Blaine",,D,4376,,
Maryland,,"Jaffe, Ralph",,D,3313,,
Maryland,,"Young, Lih",,D/W,3993,163,
Maryland,,"Tinus, Ed",,D/W,1064,48,
Maryland,,,Party Votes:,D,324218,,
Maryland,,"Bongino, Daniel John ",,R,68597,693291,
Maryland,,"Douglas, Richard J.",,R,57776,,
Maryland,,"Alexander, Joseph",,R,18171,,
Maryland,,"Broadus, Robert ""BRO""",,R,11020,,
Maryland,,"Hoover, Rick",,R,10787,,
Maryland,,"Kimble, John B.",,R,10506,,
Maryland,,"Jones, David",,R,8380,,
Maryland,,"Vaughn, Corrogan R.",,R,8158,,
Maryland,,"Capps, William Thomas, Jr.",,R,7092,,
Maryland,,"Vaeth, Brian ",,R,3781,,
Maryland,,,Party Votes:,R,204268,,
Maryland,,"Sobhani, S. Rob",,UN,,430934,
Maryland,,"Ahmad, Dean",,LIB,,32252,
Maryland,,Scattered,,W,,2346,
Maryland,,"Baker, Brandy",,W,,151,
Maryland,,"Podlesak, Mary",,W,,2,
Maryland,,,Total State Votes:,,528486,2633215,
,,,,,,,
Massachusetts,,,,,,,
Massachusetts,,"Warren, Elizabeth A.",,D,308979,1696346,
Massachusetts,,All Others,,W(D),7638,,
Massachusetts,,,Party Votes:,D,316617,,
Massachusetts,(I),"Brown, Scott P.",,R,133860,1458048,
Massachusetts,,All Others,,W(R),733,,
Massachusetts,,,Party Votes:,R,134593,,
Massachusetts,,All Others,,W(GR),333,,
Massachusetts,,,Party Votes:,GR,333,,
Massachusetts,,All Others,,W,,2159,
Massachusetts,,,Total State Votes:,,451543,3156553,
,,,,,,,
