STATE,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES 
,,,,,,
Alabama,(I),"Shelby, Richard C.",,R,505586,1335104
Alabama,,"McConnell, Jonathan",,R,214770,
Alabama,,"Martin, John",,R,23558,
Alabama,,"Bowman, Marcus",,R,19707,
Alabama,,"McGill, Shadrack ",,R,15230,
Alabama,,,Party Votes:,R,778851,
Alabama,,"Crumpton, Ron",,D,153897,748709
Alabama,,"Nana, Charles",,D,120526,
Alabama,,,Party Votes:,D,274423,
Alabama,,Scattered,,W,,3631
Alabama,,,Total State Votes:,,1053274,2087444
Alabama,,,,,,
,,,,,,
Alaska,(I),"Murkowski, Lisa",,R,39545,138149
Alaska,,"Lochner, Bob ",,R,8480,
Alaska,,"Kendall, Paul",,R,4272,
Alaska,,"Lamb, Thomas ",,R,2996,
Alaska,,,Party Votes:,R,55293,
Alaska,,"Miller, Joe  #",,LIB,,90825
Alaska,,"Stevens, Cean  #",,LIB,5102,
Alaska,,,Party Votes:,LIB,5102,
Alaska,,"Metcalfe, Ray",,D,15228,36200
Alaska,,"Blatchford, Edgar",,D,10090,
Alaska,,,Party Votes:,D,25318,
Alaska,,"Stock, Margaret",,NAF,,41194
Alaska,,"Craig, Breck A.",,NAF,,2609
Alaska,,"Gianoutsos, Ted",,NAF,,1758
Alaska,,Scattered,,W,,706
Alaska,,,Total State Votes:,,85713,311441
,,,,,,
Arizona,(I),"McCain, John",,R,302532,1359267
Arizona,,"Ward, Kelli",,R,235988,
Arizona,,"Meluskey, Alex",,R,31159,
Arizona,,"Van Steenwyk, Clair",,R,21476,
Arizona,,"Webster, Sean",,W(R),175,
Arizona,,,Party Votes:,R,591330,
Arizona,,"Kirkpatrick, Ann",,D,333586,1031245
Arizona,,"Bello, Axel",,W(D),508,
Arizona,,,Party Votes:,D,334094,
Arizona,,"Swing, Gary",,W(GRE)/GRE,238,138634
Arizona,,,Party Votes:,G,238,
Arizona,,"Hamilton, Merissa",,W(LIB),1286,
Arizona,,,Party Votes:,LIB,1286,
Arizona,,"Quinn, Pat",,W,,694
Arizona,,"Dudikoff, Sydney",,W,,494
Arizona,,"Lopez, Selena",,W,,223
Arizona,,"Clark, Leonard",,W,,83
Arizona,,"Camboni, Anthony",,W,,45
Arizona,,"Bilyeu, Sheila ",,W,,34
Arizona,,"Scott, Gene, II",,W,,7
Arizona,,"Chavez, Santos",,W,,4
Arizona,,,Total State Votes:,,926948,2530730
Arizona,,,,,,
,,,,,,
Arkansas,(I),"Boozman, John",,R,298039,661984
Arkansas,,"Coleman, Curtis",,R,91795,
Arkansas,,,Party Votes:,R,389834,
Arkansas,,"Eldridge, Conner",,D,Unopposed,400602
Arkansas,,"Gilbert, Frank",,LIB,,43866
Arkansas,,"Tate, Jason",,W,,1070
Arkansas,,,Total State Votes:,,389834,1107522
,,,,,,
California,,"Harris, Kamala D. ",,D,3000689,7542759
California,,"Sanchez, Loretta L.",,D,1416203,4701417
California,,"Sundheim, Duf",,R,584251,
California,,"Wyman, Phil",,R,352821,
California,,"Del Beccaro, Thomas G.",,R,323614,
California,,"Conlon, Greg",,R,230944,
California,,"Stokes, Steve",,D,168805,
California,,"Yang, George C.",,R,112055,
California,,"Roseberry, Karen ",,R,110557,
California,,"Lightfoot, Gail K.",,LIB,99761,
California,,"Munroe, Massie ",,D,98150,
California,,"Elizondo, Pamela",,GRE,95677,
California,,"Palzer, Tom",,R,93263,
California,,"Unz, Ron",,R,92325,
California,,"Krampe, Don",,R,69635,
California,,"García, Eleanor ",,NOP,65084,
California,,"Williamson, Jarrell ",,R,64120,
California,,"Hougo, Von",,R,63609,
California,,"Grappo, President Cristina",,D,63330,
California,,"Laws, Jerry J.",,R,53023,
California,,"Herd, Mark Matthew ",,LIB,41344,
California,,"Parker, John Thompson",,PAF,35998,
California,,"Shi, Ling Ling",,NOP,35196,
California,,"Peters, Herbert G.",,D,32638,
California,,"Rodgers, Emory",,D,31485,
California,,"Beitiks, Mike ",,NOP,31450,
California,,"Grey, Clive",,NOP,29418,
California,,"Hanania, Jason",,NOP,27715,
California,,"Merritt, Paul",,NOP,24031,
California,,"Kraus, Jason",,NOP,19318,
California,,"Grundmann, Don J.",,NOP,15317,
California,,"Vineberg, Scott A.",,NOP,11843,
California,,"Gildersleeve, Tim",,NOP,9798,
California,,"Myers, Gar",,NOP,8726,
California,,"Falling, Billy",,W(R),87,
California,,"Llewellyn, Ric M.",,W(NOP),32,
California,,"Stuart, Alexis",,W(R),10,
California,,,Total State Votes:,,7512322,12244176
California,,,,,,
,,,,,,
Colorado,(I),"Bennet, Michael",,D,262344,1370710
Colorado,,,Party Votes:,D,262344,
Colorado,,"Glenn, Darryl",,R,131125,1215318
Colorado,,"Graham, Jack",,R,85400,
Colorado,,"Blaha, Robert",,R,57196,
Colorado,,"Keyser, Jon",,R,43509,
Colorado,,"Frazier, Ryan L.",,R,30241,
Colorado,,"Eller, Jerry",,W(R),68,
Colorado,,,Party Votes:,R,347539,
Colorado,,"Williams, Lily Tang ",,LIB,,99277
Colorado,,"Menconi, Arn",,GRE,,36805
Colorado,,"Hammons, Bill",,UPC,,9336
Colorado,,"Chapin, Dan",,UN,,8361
Colorado,,"Fiorino, Paul Noel",,UN,,3216
Colorado,,"Willoughby, Don",,W,,6
Colorado,,,Total State Votes:,,609883,2743029
Colorado,,,,,,
,,,,,,
Connecticut,(I),"Blumenthal, Richard",,D,*,920766
Connecticut,(I),"Blumenthal, Richard",,WF,,87948
Connecticut,,"Carter, Dan",,R,*,552621
Connecticut,,"Orchulli, Jack",,R,,
Connecticut,,"Wolf, August L.",,R,,
Connecticut,,"Lion, Richard",,LIB,,18190
Connecticut,,"Russell, Jeffery",,GRE,,16713
Connecticut,,"Rule, Andrew",,W,,26
Connecticut,,"Traceski, John M.",,W,,12
Connecticut,,,Total State Votes:,,,1596276
,,,,,,
Florida,(I),"Rubio, Marco",,R,1029830,4835191
Florida,,"Beruff, Carlos",,R,264427,
Florida,,"Young, Dwight Mark Anthony",,R,91082,
Florida,,"Rivera, Ernie",,R,45153,
Florida,,,Party Votes:,R,1430492,
Florida,,"Murphy, Patrick",,D,665985,4122088
Florida,,"Grayson, Alan",,D,199929,
Florida,,"Keith, Pam",,D,173919,
Florida,,"De La Fuente, Roque ""Rocky""",,D,60810,
Florida,,"Luster, Reginald",,D,29138,
Florida,,,Party Votes:,D,1129781,
Florida,,"Stanton, Paul",,LBF,2946,196956
Florida,,"Invictus, Augustus",,LBF,1063,
Florida,,,Party Votes:,LBF,4009,
Florida,,"Nathan, Bruce",,NPA,,52451
Florida,,"Khoury, Tony ",,NPA,,45820
Florida,,"Machat, Steven ",,NPA,,26918
Florida,,"Dalack, Basil E.",,NPA,,22236
Florida,,"Tolbert, Charles Frederick ",,W,,56
Florida,,"Knepper, Howard ",,W,,50
Florida,,"Walls-Windhauser, Angela Marie",,W,,37
Florida,,"Kaplan, Robert Samuel",,W,,10
Florida,,"Patrick, Bradley ",,W,,7
Florida,,,Total State Votes:,,2564282,9301820
Florida,,,,,,
,,,,,,
Georgia,(I),"Isakson, Johnny",,R,447661,2135806
Georgia,,"Grayson, Derrick",,R,69101,
Georgia,,"Bacallao, Mary Kay",,R,60898,
Georgia,,,Party Votes:,R,577660,
Georgia,,"Barksdale, Jim",,D,166627,1599726
Georgia,,"Copeland, Cheryl ",,D,130822,
Georgia,,"Coyne, John F., III",,D,12604,
Georgia,,,Party Votes:,D,310053,
Georgia,,"Buckley, Allen",,LIB,,162260
Georgia,,"Gates, Michelle",,W,,813
Georgia,,,Total State Votes:,,887713,3898605
Georgia,,,,,,
,,,,,,
Hawaii,(I),"Schatz, Brian",,D,162905,306604
Hawaii,,"Christensen, Makani",,D,11899,
Hawaii,,"Shiratori, Miles",,D,8620,
Hawaii,,"Reyes, Arturo",,D,3820,
Hawaii,,"Honeychurch, Tutz",,D,1815,
Hawaii,,,Party Votes:,D,189059,
Hawaii,,"Carroll, John",,R,26749,92653
Hawaii,,"Roco, John P.",,R,3956,
Hawaii,,"Gottschalk, Karla (Bart)",,R,3045,
Hawaii,,"Pirkowski, Eddie",,R,2115,
Hawaii,,,Party Votes:,R,35865,
Hawaii,,"Allison, Joy J",,CON,217,9103
Hawaii,,,Party Votes:,CON,217,
Hawaii,,"Kokoski, Michael A.",,LIB,909,6809
Hawaii,,,Party Votes:,LIB,909,
