,hitter.last_name,Home?,OnFirst,OnSecond,OnThird,OppTeam,count.balls,count.outs,count.pitch_count,count.strikes,created_at,errors,fielders,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,hit_location,hit_type,hitter.first_name,hitter.id,hitter.jersey_number,hitter.preferred_name,id,innings,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.jersey_number,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,runners,status,temperature,type,updated_at,warming_up.first_name,warming_up.id,warming_up.jersey_number,warming_up.last_name,warming_up.player_id,warming_up.preferred_name,warming_up.team_id,weather.direction,weather.speed_mph
0,Carpenter,1,0.0,0.0,0.0,MIN,1.0,0.0,1.0,0.0,2018-05-08T00:33:27+00:00,0,0,False,False,False,False,False,False,False,False,0,0,Matthew,a8cd51db-4a15-454a-836d-79fe158f7b71,13,Matt,ffc9c2d7-109a-4fb1-89ae-84ae19ed718e,1,bB,Fernando,L,e971302a-321b-4f8d-a0a5-abd51ecd32ef,77,Romero,1.0,95.0,FA,0.0,113.0,10.0,R,Fernando,0,official,73.0,pitch,2018-05-08T00:33:33+00:00,0,0,0,0,0,0,0,ENE,8.0
1,Carpenter,1,0.0,0.0,0.0,MIN,2.0,0.0,2.0,0.0,2018-05-08T00:33:42+00:00,0,0,False,False,False,False,False,False,False,False,0,0,Matthew,a8cd51db-4a15-454a-836d-79fe158f7b71,13,Matt,f38a3f24-9e40-4176-8614-206a38b614d2,1,bB,Fernando,L,e971302a-321b-4f8d-a0a5-abd51ecd32ef,77,Romero,2.0,96.0,FA,-105.0,-121.0,13.0,R,Fernando,0,official,73.0,pitch,2018-05-08T00:33:56+00:00,0,0,0,0,0,0,0,ENE,8.0
2,Carpenter,1,0.0,0.0,0.0,MIN,2.0,0.0,3.0,1.0,2018-05-08T00:34:00+00:00,0,0,False,False,False,False,False,False,False,False,0,0,Matthew,a8cd51db-4a15-454a-836d-79fe158f7b71,13,Matt,8879e05f-894d-4c47-a18c-5583d125636a,1,kKL,Fernando,L,e971302a-321b-4f8d-a0a5-abd51ecd32ef,77,Romero,3.0,96.0,FA,11.0,13.0,5.0,R,Fernando,0,official,73.0,pitch,2018-05-08T00:34:44+00:00,0,0,0,0,0,0,0,ENE,8.0
3,Carpenter,1,0.0,0.0,0.0,MIN,3.0,0.0,4.0,1.0,2018-05-08T00:34:16+00:00,0,0,False,False,False,False,False,False,False,False,0,0,Matthew,a8cd51db-4a15-454a-836d-79fe158f7b71,13,Matt,4ab674f0-ee03-4fd0-8cde-f74cff4d4453,1,bB,Fernando,L,e971302a-321b-4f8d-a0a5-abd51ecd32ef,77,Romero,4.0,96.0,FA,29.0,-147.0,12.0,R,Fernando,0,official,73.0,pitch,2018-05-08T00:34:21+00:00,0,0,0,0,0,0,0,ENE,8.0
4,Carpenter,1,0.0,0.0,0.0,MIN,4.0,0.0,5.0,1.0,2018-05-08T00:34:32+00:00,0,0,True,False,False,False,False,False,False,False,0,0,Matthew,a8cd51db-4a15-454a-836d-79fe158f7b71,13,Matt,68d59584-4d6d-4f1e-a82d-695a7e91edd4,1,bB,Fernando,L,e971302a-321b-4f8d-a0a5-abd51ecd32ef,77,Romero,5.0,97.0,FA,-41.0,156.0,10.0,R,Fernando,"[{'starting_base': 0, 'ending_base': 1, 'out': False, 'outcome_id': 'AD1', 'preferred_name': 'Matt', 'first_name': 'Matthew', 'last_name': 'Carpenter', 'jersey_number': '13', 'id': 'a8cd51db-4a15-454a-836d-79fe158f7b71'}]",official,73.0,pitch,2018-05-08T00:34:37+00:00,0,0,0,0,0,0,0,ENE,8.0
5,Bader,1,1.0,0.0,0.0,MIN,1.0,0.0,1.0,0.0,2018-05-08T00:35:07+00:00,0,0,False,False,False,False,False,False,False,False,0,0,Harrison,b6eb38af-2e03-46ba-b613-9185987940f2,48,Harrison,47eb2f01-f691-4ed3-917a-dd9ddf922267,1,bB,Fernando,R,e971302a-321b-4f8d-a0a5-abd51ecd32ef,77,Romero,6.0,95.0,FA,-152.0,-95.0,13.0,R,Fernando,"[{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Matt', 'first_name': 'Matthew', 'last_name': 'Carpenter', 'jersey_number': '13', 'id': 'a8cd51db-4a15-454a-836d-79fe158f7b71'}]",official,73.0,pitch,2018-05-08T00:35:12+00:00,0,0,0,0,0,0,0,ENE,8.0
6,Bader,1,1.0,0.0,0.0,MIN,1.0,0.0,2.0,1.0,2018-05-08T00:35:27+00:00,0,0,False,False,False,False,False,False,False,False,0,0,Harrison,b6eb38af-2e03-46ba-b613-9185987940f2,48,Harrison,100470e9-20cf-4804-906c-c603619aeb76,1,kKS,Fernando,R,e971302a-321b-4f8d-a0a5-abd51ecd32ef,77,Romero,7.0,85.0,SL,-94.0,-73.0,7.0,R,Fernando,"[{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Matt', 'first_name': 'Matthew', 'last_name': 'Carpenter', 'jersey_number': '13', 'id': 'a8cd51db-4a15-454a-836d-79fe158f7b71'}]",official,73.0,pitch,2018-05-08T00:35:42+00:00,0,0,0,0,0,0,0,ENE,8.0
7,Bader,1,1.0,0.0,0.0,MIN,1.0,0.0,3.0,2.0,2018-05-08T00:35:49+00:00,0,0,False,False,False,False,False,False,False,False,0,0,Harrison,b6eb38af-2e03-46ba-b613-9185987940f2,48,Harrison,ea709e2d-f8c6-44cf-88fb-e9669de7689e,1,kF,Fernando,R,e971302a-321b-4f8d-a0a5-abd51ecd32ef,77,Romero,8.0,95.0,FA,94.0,-17.0,6.0,R,Fernando,"[{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Matt', 'first_name': 'Matthew', 'last_name': 'Carpenter', 'jersey_number': '13', 'id': 'a8cd51db-4a15-454a-836d-79fe158f7b71'}]",official,73.0,pitch,2018-05-08T00:36:04+00:00,0,0,0,0,0,0,0,ENE,8.0
8,Bader,1,1.0,0.0,0.0,MIN,1.0,1.0,4.0,3.0,2018-05-08T00:36:18+00:00,0,"[{'sequence': 1, 'preferred_name': 'Bobby', 'first_name': 'Robert', 'last_name': 'Wilson', 'jersey_number': '46', 'id': '86bcc430-09a4-45c0-b42d-56f08e8118e6', 'type': 'putout'}]",True,False,False,False,False,False,False,False,0,0,Harrison,b6eb38af-2e03-46ba-b613-9185987940f2,48,Harrison,685bfafd-49c9-4052-8376-7d98d24be20b,1,kKL,Fernando,R,e971302a-321b-4f8d-a0a5-abd51ecd32ef,77,Romero,9.0,96.0,FA,-88.0,-95.0,7.0,R,Fernando,"[{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Matt', 'first_name': 'Matthew', 'last_name': 'Carpenter', 'jersey_number': '13', 'id': 'a8cd51db-4a15-454a-836d-79fe158f7b71'}]",official,73.0,pitch,2018-05-08T00:37:40+00:00,0,0,0,0,0,0,0,ENE,8.0
9,Fowler,1,1.0,0.0,0.0,MIN,0.0,1.0,1.0,1.0,2018-05-08T00:36:55+00:00,0,0,False,False,False,False,False,False,False,False,0,0,William,a91b5de2-7809-4c9c-b67a-409835c5f17e,25,Dexter,2cd7c86c-9796-4676-a57f-b3588d593fa2,1,kKL,Fernando,L,e971302a-321b-4f8d-a0a5-abd51ecd32ef,77,Romero,10.0,96.0,FA,47.0,65.0,3.0,R,Fernando,"[{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Matt', 'first_name': 'Matthew', 'last_name': 'Carpenter', 'jersey_number': '13', 'id': 'a8cd51db-4a15-454a-836d-79fe158f7b71'}]",official,73.0,pitch,2018-05-08T00:37:11+00:00,0,0,0,0,0,0,0,ENE,8.0
10,Fowler,1,1.0,0.0,0.0,MIN,1.0,1.0,2.0,1.0,2018-05-08T00:37:18+00:00,0,0,False,False,False,False,False,False,False,False,0,0,William,a91b5de2-7809-4c9c-b67a-409835c5f17e,25,Dexter,adc9d0ab-90d5-4d9d-9746-e6be34062778,1,bB,Fernando,L,e971302a-321b-4f8d-a0a5-abd51ecd32ef,77,Romero,11.0,91.0,CH,47.0,-134.0,12.0,R,Fernando,"[{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Matt', 'first_name': 'Matthew', 'last_name': 'Carpenter', 'jersey_number': '13', 'id': 'a8cd51db-4a15-454a-836d-79fe158f7b71'}]",official,73.0,pitch,2018-05-08T00:37:23+00:00,0,0,0,0,0,0,0,ENE,8.0
11,Fowler,1,1.0,0.0,0.0,MIN,1.0,2.0,3.0,1.0,2018-05-08T00:37:48+00:00,0,"[{'sequence': 1, 'preferred_name': 'Eddie', 'first_name': 'Eddie', 'last_name': 'Rosario', 'jersey_number': '20', 'id': '4be357dd-add5-4613-937d-6b9a0831d9ee', 'type': 'putout'}]",True,False,False,False,False,False,False,False,6,FB,William,a91b5de2-7809-4c9c-b67a-409835c5f17e,25,Dexter,03d62604-8c84-4d42-bb7d-57fcd526a127,1,oFO,Fernando,L,e971302a-321b-4f8d-a0a5-abd51ecd32ef,77,Romero,12.0,95.0,FA,100.0,47.0,3.0,R,Fernando,"[{'starting_base': 1, 'ending_base': 1, 'out': False, 'outcome_id': '', 'preferred_name': 'Matt', 'first_name': 'Matthew', 'last_name': 'Carpenter', 'jersey_number': '13', 'id': 'a8cd51db-4a15-454a-836d-79fe158f7b71'}]",official,73.0,pitch,2018-05-08T00:37:59+00:00,0,0,0,0,0,0,0,ENE,8.0
