iter	Logloss
0	0.6875820617
1	0.6823932706
2	0.6773427278
3	0.6727993179
4	0.6685298337
5	0.6653387402
6	0.6614743955
7	0.657707877
8	0.6543127231
9	0.6511878562
10	0.6480754294
11	0.6450637674
12	0.6424722291
13	0.6400265074
14	0.6377496081
15	0.6355288315
16	0.6334381281
17	0.6319417114
18	0.6299938606
19	0.6286387326
20	0.6269862658
21	0.6254943041
22	0.6242475544
23	0.6228053544
24	0.6215611714
25	0.6202794895
26	0.6190828119
27	0.618291505
28	0.6175483767
29	0.6168424196
30	0.6165252329
31	0.6156567709
32	0.6147070706
33	0.6138559222
34	0.6131077712
35	0.6122643508
36	0.61173713
37	0.6110957982
38	0.6104190294
39	0.6100311158
40	0.6096666564
41	0.6088795312
42	0.6084609597
43	0.6081606914
44	0.6076306416
45	0.6072197898
46	0.6069790024
47	0.6065470595
48	0.6061880686
49	0.6058688337
50	0.6051961061
51	0.6048145231
52	0.6046017462
53	0.6041545867
54	0.6039074817
55	0.6036500813
56	0.6034240643
57	0.6032543153
58	0.602925691
59	0.6023319626
60	0.6023058559
61	0.6022813026
62	0.6022762931
63	0.6020939034
64	0.6019225439
65	0.6017615413
66	0.6015624357
67	0.6012335291
68	0.6010949776
69	0.6009573541
70	0.6009002748
71	0.6008271954
72	0.6007584803
73	0.6004710005
74	0.5999756215
75	0.5998790293
76	0.5991865047
77	0.59893423
78	0.5988857286
79	0.5985300384
80	0.5985288169
81	0.5984497856
82	0.5982296524
83	0.5981558376
84	0.5981442996
85	0.5979139786
86	0.5978524893
87	0.5973590423
88	0.5969887109
89	0.5965784372
90	0.5965114147
91	0.5964824916
92	0.5960209657
93	0.5955990849
94	0.5955825359
95	0.5954150548
96	0.5950506208
97	0.5950503731
98	0.5950066736
99	0.594976097
100	0.5949289541
101	0.5948242209
102	0.5946861844
103	0.5946552417
104	0.5943287063
105	0.5943048645
106	0.5942491298
107	0.5940512667
108	0.5939404418
109	0.59391083
110	0.593882994
111	0.5937691848
112	0.5935042127
113	0.5934731126
114	0.5934703536
115	0.5932119194
116	0.5930960113
117	0.5928305156
118	0.592662714
119	0.5926626786
120	0.5926421222
121	0.5926148851
122	0.5925419954
123	0.5923998826
124	0.5922079097
125	0.5921828274
126	0.5921466982
127	0.592036207
128	0.5920361907
129	0.5916371264
130	0.5915967706
131	0.5915878756
132	0.5914603282
133	0.5913543056
134	0.5913363818
135	0.5913290327
136	0.5913120793
137	0.5913116289
138	0.5911952977
139	0.5911636573
140	0.591163654
141	0.5911619412
142	0.5911619382
143	0.5907454985
144	0.5907241188
145	0.5906490977
146	0.5906490975
147	0.5906490972
148	0.5906149861
149	0.5905362157
150	0.5905362156
151	0.590527986
152	0.590527986
153	0.5905279859
154	0.5905260751
155	0.5900978754
156	0.5900978749
157	0.5900978744
158	0.5900409433
159	0.5899376975
160	0.5899376967
161	0.5898189894
162	0.5898189888
163	0.5898189882
164	0.5898189876
165	0.5898189871
166	0.5898189866
167	0.5898189862
168	0.5898188767
169	0.5898188763
170	0.5898188759
171	0.589794925
172	0.5894870063
173	0.5894870056
174	0.589487005
175	0.5894870044
176	0.5894870038
177	0.5894870033
178	0.5891704096
179	0.5891686394
180	0.5891686382
181	0.5889939107
182	0.5889493118
183	0.5889493103
184	0.5889493089
185	0.588947428
186	0.5889474267
187	0.5889297477
188	0.5889297464
189	0.5888714503
190	0.5888714489
191	0.5888713651
192	0.5888701113
193	0.5888701101
194	0.5888650349
195	0.5887139425
196	0.58870629
197	0.5884750853
198	0.5884750846
199	0.5884750839
200	0.5884750083
201	0.5884750077
202	0.5884750071
203	0.5884750066
204	0.5884750061
205	0.5883737632
206	0.5881236205
207	0.5881217835
208	0.5881217828
209	0.5881217821
210	0.5881217097
211	0.5881217091
212	0.5879691701
213	0.5879691694
214	0.5879691687
215	0.5879649958
216	0.5879649239
217	0.5879649233
218	0.5879649228
219	0.5879649222
220	0.5879649218
221	0.5879649213
222	0.5879649208
223	0.587906718
224	0.5878892655
225	0.5878891952
226	0.5878891947
227	0.5878891943
228	0.5878891939
229	0.5878891855
230	0.5878891851
231	0.5878891848
232	0.5878891845
233	0.5878891842
234	0.5878721022
235	0.5878718286
236	0.5878718284
237	0.5878718281
238	0.5878701881
239	0.5878701879
240	0.5878701877
241	0.5878701875
242	0.5878701873
243	0.5876710941
244	0.5876710824
245	0.5876330017
246	0.5876330012
247	0.5876195982
248	0.5876195977
249	0.5876193455
250	0.5874594295
251	0.5874594288
252	0.5871404942
253	0.5871404919
254	0.5871389165
255	0.5871389144
256	0.5870979096
257	0.5870970816
258	0.58709708
259	0.5869683072
260	0.5869671596
261	0.5869671575
262	0.5869671555
263	0.586946291
264	0.5869462891
265	0.5869452827
266	0.5869452811
267	0.5869452795
268	0.586945278
269	0.5866553937
270	0.5866553924
271	0.5864137704
272	0.5864137692
273	0.5864137681
274	0.5864106201
275	0.5860852211
276	0.5860851686
277	0.58598701
278	0.5859870069
279	0.585987004
280	0.58597606
281	0.585976013
282	0.5857333849
283	0.5857333822
284	0.5857333797
285	0.585733337
286	0.5853845832
287	0.5853832798
288	0.5853824622
289	0.5853824591
290	0.5853824563
291	0.5853824536
292	0.5852580018
293	0.5852579994
294	0.5850394844
295	0.5847986019
296	0.5847985986
297	0.584622389
298	0.5846223856
