iter	Logloss
0	0.6874085046
1	0.6816234378
2	0.6763998982
3	0.6715431476
4	0.6669390146
5	0.6627329953
6	0.6584311323
7	0.6550479522
8	0.6515608856
9	0.6486289063
10	0.6455965242
11	0.6425138638
12	0.6401660846
13	0.6374332497
14	0.6349750876
15	0.6321402746
16	0.6299878687
17	0.6279852892
18	0.626149058
19	0.6244279159
20	0.622644631
21	0.6208963354
22	0.6185652859
23	0.6173993577
24	0.6162514475
25	0.6148326119
26	0.6137176995
27	0.612594363
28	0.6117444038
29	0.6108559033
30	0.6097638544
31	0.6091690922
32	0.6081162229
33	0.6064524652
34	0.6050186594
35	0.6043421501
36	0.6036986581
37	0.6032047357
38	0.6026349746
39	0.6019883954
40	0.6016753204
41	0.6010339196
42	0.60033255
43	0.5997677309
44	0.5988693032
45	0.5982769245
46	0.5979961288
47	0.5975516073
48	0.5969600765
49	0.5964694816
50	0.5958270475
51	0.5953776151
52	0.5951892307
53	0.5950104186
54	0.5943656499
55	0.5939889585
56	0.5935581007
57	0.5933245101
58	0.5932801922
59	0.5929727121
60	0.5929678894
61	0.5924489592
62	0.5923507416
63	0.5917593825
64	0.5913294266
65	0.5906527122
66	0.590067922
67	0.5898307923
68	0.589782986
69	0.589483097
70	0.5892858069
71	0.5890452857
72	0.5887682661
73	0.5885442295
74	0.5879757516
75	0.5874280317
76	0.5874255703
77	0.5870384917
78	0.5869096216
79	0.5866253928
80	0.5861441548
81	0.5860333665
82	0.5856079157
83	0.5851596176
84	0.5851519213
85	0.5849076004
86	0.5845518396
87	0.5840430185
88	0.583875664
89	0.5836185049
90	0.5836172756
91	0.5833423637
92	0.5826852289
93	0.5825780202
94	0.5825757289
95	0.5824818179
96	0.5820712571
97	0.5820651307
98	0.5818430312
99	0.5818276997
100	0.5816136229
101	0.5812437005
102	0.5807344032
103	0.5804823881
104	0.5804822828
105	0.5804689804
106	0.5802993694
107	0.580022691
108	0.5800186712
109	0.5799399817
110	0.5796772311
111	0.5796722805
112	0.5795894444
113	0.5795893998
114	0.5795859511
115	0.5795857816
116	0.579515377
117	0.5794543039
118	0.5789585785
119	0.5789585022
120	0.5789415499
121	0.5788221812
122	0.5788221623
123	0.5787921149
124	0.5787728969
125	0.5787521201
126	0.5787495261
127	0.5787465661
128	0.5787457711
129	0.578322828
130	0.5783219694
131	0.5781836186
132	0.577854212
133	0.5770897154
134	0.5769962768
135	0.576993676
136	0.5764673198
137	0.5764587098
138	0.5764549177
139	0.5764249131
140	0.5764249131
141	0.5764249131
142	0.5763720731
143	0.576348753
144	0.5763482259
145	0.5759356096
146	0.5759159663
147	0.5759159657
148	0.5759136879
149	0.575913681
150	0.5759136805
151	0.5758573845
152	0.575857384
153	0.5754772877
154	0.5753374639
155	0.5753374569
156	0.5753374562
157	0.5753338081
158	0.5753259929
159	0.575322832
160	0.5753228253
161	0.5753185504
162	0.5753107189
