iter	Passed	Remaining
0	21	21890
1	45	22833
2	68	22621
3	79	19909
4	89	17872
5	96	16060
6	108	15451
7	126	15701
8	134	14846
9	143	14202
10	151	13585
11	160	13224
12	168	12767
13	176	12423
14	184	12088
15	193	11899
16	202	11701
17	209	11450
18	216	11176
19	238	11677
20	251	11720
21	260	11583
22	271	11528
23	279	11376
24	288	11253
25	300	11272
26	309	11151
27	320	11133
28	327	10961
29	335	10851
30	342	10720
31	349	10581
32	359	10539
33	370	10518
34	389	10732
35	400	10735
36	409	10650
37	418	10584
38	426	10510
39	435	10454
40	455	10661
41	468	10675
42	475	10582
43	482	10481
44	490	10419
45	498	10331
46	505	10241
47	511	10142
48	519	10076
49	527	10018
50	535	9955
51	543	9904
52	549	9822
53	556	9746
54	564	9696
55	573	9660
56	581	9626
57	588	9554
58	594	9485
59	601	9430
60	608	9360
61	616	9332
62	623	9275
63	635	9288
64	645	9288
65	664	9397
66	678	9441
67	688	9432
68	697	9404
69	709	9431
70	718	9407
71	728	9388
72	737	9359
73	748	9363
74	784	9669
75	823	10014
76	837	10039
77	845	9997
78	852	9940
79	860	9894
80	879	9981
81	887	9940
82	896	9902
83	905	9875
84	912	9818
85	918	9762
86	926	9719
87	934	9682
88	942	9649
89	954	9651
90	960	9598
91	970	9575
92	978	9541
93	984	9491
94	990	9439
95	999	9410
96	1023	9532
97	1045	9618
98	1071	9755
99	1096	9870
100	1120	9973
101	1140	10038
102	1153	10048
103	1166	10053
104	1179	10052
105	1186	10006
106	1199	10008
107	1214	10030
108	1224	10008
109	1233	9982
110	1247	9989
111	1256	9963
112	1265	9935
113	1278	9936
114	1285	9895
115	1298	9894
116	1323	9990
117	1340	10023
118	1349	9992
119	1355	9942
120	1362	9900
121	1371	9871
122	1377	9823
123	1385	9787
124	1395	9765
125	1416	9824
126	1438	9889
127	1462	9962
128	1484	10026
129	1514	10134
130	1536	10192
131	1558	10250
132	1573	10256
133	1588	10263
134	1602	10268
135	1614	10259
136	1626	10243
137	1637	10226
138	1652	10233
139	1666	10239
140	1673	10198
141	1687	10196
142	1696	10167
143	1737	10330
144	1751	10327
145	1759	10294
146	1766	10251
147	1774	10214
148	1788	10216
149	1811	10263
150	1830	10291
151	1854	10345
152	1876	10385
153	1902	10451
154	1931	10531
155	1958	10594
156	1977	10619
157	1992	10617
158	2004	10602
159	2012	10566
160	2026	10557
161	2040	10553
162	2049	10521
163	2061	10506
164	2067	10464
165	2076	10431
166	2082	10389
167	2090	10350
168	2097	10315
169	2106	10285
170	2127	10315
171	2148	10340
172	2176	10404
173	2207	10479
174	2229	10509
175	2236	10472
176	2243	10430
177	2249	10389
178	2256	10349
179	2265	10321
180	2274	10289
181	2280	10251
182	2287	10211
183	2294	10174
184	2301	10138
185	2309	10106
186	2316	10069
187	2324	10041
188	2331	10002
189	2338	9968
190	2344	9928
191	2354	9906
192	2373	9923
193	2393	9943
194	2403	9921
195	2410	9888
196	2418	9857
197	2425	9824
198	2433	9796
199	2441	9765
200	2448	9734
201	2456	9703
202	2467	9685
203	2473	9651
204	2480	9618
205	2487	9589
206	2495	9560
207	2504	9535
208	2511	9503
209	2518	9474
210	2526	9445
211	2533	9417
212	2541	9392
213	2549	9364
214	2557	9338
215	2565	9313
216	2573	9285
217	2581	9262
218	2589	9235
219	2608	9247
220	2616	9221
221	2622	9190
222	2632	9172
223	2638	9141
224	2646	9116
225	2652	9085
226	2660	9060
227	2667	9031
228	2673	9000
229	2682	8978
230	2689	8953
231	2696	8925
232	2703	8899
233	2710	8872
234	2716	8843
235	2723	8817
236	2730	8790
237	2738	8768
238	2746	8743
239	2752	8717
240	2763	8704
241	2800	8770
242	2862	8917
243	2888	8950
244	2897	8930
245	2903	8900
246	2913	8881
247	2919	8852
248	2928	8833
249	2934	8804
250	2941	8778
251	2950	8758
252	2957	8733
253	2966	8713
254	2977	8697
255	2984	8673
256	2995	8658
257	3003	8636
258	3012	8617
259	3018	8591
260	3026	8567
261	3032	8542
262	3039	8518
263	3048	8499
264	3054	8472
265	3061	8448
266	3075	8442
267	3082	8418
268	3091	8402
269	3098	8376
270	3105	8354
271	3111	8328
272	3118	8303
273	3125	8282
274	3132	8259
275	3139	8235
276	3145	8210
277	3152	8186
278	3160	8168
279	3167	8145
280	3174	8121
281	3181	8100
282	3187	8076
283	3197	8060
284	3203	8036
285	3208	8010
286	3216	7991
287	3225	7973
288	3232	7953
289	3239	7930
290	3245	7907
291	3252	7887
292	3261	7869
293	3275	7864
294	3282	7844
295	3289	7822
296	3294	7798
297	3303	7781
298	3309	7759
299	3317	7740
300	3336	7748
301	3353	7750
302	3374	7762
303	3392	7766
304	3413	7777
305	3421	7759
306	3430	7743
307	3438	7725
308	3446	7707
309	3453	7686
310	3460	7667
311	3476	7666
312	3485	7651
313	3492	7630
314	3498	7608
315	3504	7586
316	3511	7564
317	3516	7542
318	3524	7523
319	3532	7505
320	3538	7483
321	3544	7462
322	3551	7444
323	3559	7427
324	3568	7412
325	3576	7393
326	3582	7372
327	3588	7351
328	3594	7330
329	3600	7310
330	3607	7291
331	3614	7271
332	3622	7254
333	3630	7238
334	3635	7217
335	3642	7198
336	3650	7182
337	3657	7163
338	3673	7162
339	3681	7146
340	3694	7139
341	3723	7163
342	3737	7158
343	3745	7143
344	3753	7126
345	3761	7109
346	3767	7090
347	3775	7073
348	3780	7052
349	3788	7035
350	3794	7016
351	3802	7000
352	3810	6984
353	3819	6970
354	3827	6954
355	3835	6938
356	3841	6919
357	3847	6899
358	3855	6883
359	3861	6865
360	3868	6847
361	3886	6850
362	3895	6835
363	3901	6816
364	3918	6816
365	3936	6819
366	3957	6826
367	3978	6832
368	3990	6823
369	3997	6807
370	4008	6795
371	4015	6778
372	4021	6760
373	4027	6741
374	4034	6723
375	4042	6708
376	4050	6693
377	4058	6677
378	4064	6659
379	4071	6643
380	4078	6625
381	4085	6609
382	4100	6605
383	4108	6590
384	4117	6577
385	4125	6561
386	4131	6544
387	4139	6528
388	4147	6514
389	4155	6499
390	4162	6483
391	4170	6469
392	4179	6454
393	4186	6438
394	4192	6421
395	4200	6406
396	4208	6391
397	4216	6377
398	4224	6362
399	4232	6348
400	4240	6333
401	4247	6318
402	4255	6303
403	4263	6289
404	4270	6274
405	4278	6259
406	4286	6244
407	4294	6231
408	4311	6229
409	4319	6216
410	4326	6200
411	4335	6187
412	4343	6173
413	4351	6159
414	4359	6144
415	4366	6130
416	4373	6113
417	4379	6097
418	4385	6081
419	4393	6067
420	4401	6053
421	4410	6040
422	4418	6027
423	4426	6013
424	4432	5997
425	4439	5982
426	4447	5968
427	4453	5952
428	4460	5936
429	4467	5921
430	4475	5907
431	4483	5894
432	4491	5881
433	4497	5865
434	4505	5851
435	4523	5851
436	4531	5838
437	4540	5826
438	4549	5813
439	4557	5800
440	4564	5785
441	4571	5771
442	4577	5755
443	4584	5741
444	4592	5727
445	4600	5714
446	4608	5700
447	4615	5686
448	4623	5673
449	4631	5661
450	4639	5647
451	4647	5634
452	4654	5620
453	4661	5605
454	4671	5595
455	4702	5609
456	4745	5638
457	4758	5630
458	4765	5617
459	4773	5603
460	4782	5592
461	4790	5578
462	4796	5563
463	4803	5549
464	4810	5534
465	4818	5521
466	4825	5507
467	4833	5494
468	4840	5480
469	4848	5467
470	4856	5454
471	4864	5441
472	4872	5428
473	4880	5415
474	4887	5402
475	4894	5387
476	4903	5375
477	4910	5362
478	4917	5348
479	4925	5335
480	4931	5321
481	4939	5308
482	4954	5303
483	4963	5291
484	4971	5279
485	4979	5266
486	4988	5255
487	4995	5241
488	5004	5229
489	5011	5215
490	5017	5201
491	5026	5189
492	5034	5176
493	5040	5162
494	5047	5149
495	5055	5137
496	5061	5122
497	5069	5110
498	5077	5097
499	5084	5084
500	5092	5072
501	5100	5059
502	5107	5046
503	5115	5034
504	5123	5022
505	5132	5010
506	5139	4997
507	5148	4986
508	5162	4980
509	5171	4969
510	5180	4957
511	5186	4943
512	5195	4932
513	5203	4919
514	5210	4906
515	5216	4893
516	5224	4880
517	5232	4869
518	5240	4856
519	5248	4844
520	5254	4831
521	5262	4818
522	5269	4806
523	5277	4794
524	5285	4782
525	5291	4768
526	5301	4757
527	5308	4745
528	5317	4734
529	5324	4721
530	5331	4708
531	5339	4697
532	5347	4685
533	5355	4673
534	5371	4668
535	5380	4658
536	5390	4647
537	5398	4636
538	5406	4624
539	5414	4612
540	5421	4599
541	5427	4586
542	5435	4574
543	5443	4563
544	5451	4550
545	5459	4539
546	5467	4528
547	5475	4516
548	5483	4504
549	5491	4492
550	5498	4480
551	5507	4469
552	5515	4458
553	5521	4445
554	5530	4434
555	5538	4422
556	5546	4411
557	5554	4399
558	5561	4387
559	5569	4376
560	5585	4370
561	5594	4360
562	5602	4348
563	5609	4336
564	5617	4324
565	5624	4313
566	5632	4301
567	5639	4288
568	5647	4277
569	5656	4266
570	5664	4255
571	5678	4249
572	5708	4253
573	5742	4261
574	5760	4257
575	5770	4247
576	5784	4240
577	5792	4228
578	5801	4218
579	5809	4206
580	5817	4195
581	5825	4183
582	5832	4171
583	5840	4160
584	5848	4148
585	5855	4137
586	5863	4125
587	5873	4115
588	5882	4104
589	5891	4093
590	5898	4081
591	5905	4070
592	5912	4058
593	5920	4046
594	5928	4035
595	5937	4024
596	5945	4013
597	5953	4001
598	5960	3990
599	5970	3980
600	5985	3973
601	5993	3962
602	6002	3951
603	6009	3939
604	6017	3928
605	6024	3917
606	6031	3905
607	6039	3893
608	6047	3882
609	6055	3871
610	6064	3860
611	6072	3849
612	6080	3838
613	6087	3827
614	6095	3815
615	6103	3804
616	6110	3793
617	6117	3781
618	6125	3770
619	6133	3759
620	6140	3747
621	6147	3735
622	6155	3725
623	6162	3713
624	6178	3707
625	6189	3697
626	6198	3687
627	6206	3676
628	6213	3664
629	6220	3653
630	6228	3642
631	6236	3631
632	6244	3620
633	6252	3609
634	6261	3599
635	6269	3588
636	6276	3576
637	6284	3566
638	6292	3554
639	6300	3543
640	6308	3532
641	6315	3521
642	6324	3511
643	6332	3500
644	6340	3489
645	6348	3479
646	6356	3467
647	6362	3456
648	6370	3445
649	6384	3438
650	6395	3428
651	6403	3417
652	6412	3407
653	6420	3396
654	6428	3385
655	6435	3374
656	6444	3364
657	6451	3353
658	6459	3342
659	6467	3331
660	6476	3321
661	6484	3310
662	6492	3299
663	6500	3289
664	6507	3278
665	6515	3267
666	6523	3257
667	6531	3246
668	6540	3235
669	6548	3225
670	6556	3214
671	6563	3203
672	6571	3192
673	6579	3182
674	6597	3176
675	6614	3170
676	6634	3165
677	6642	3154
678	6651	3144
679	6658	3133
680	6667	3123
681	6676	3112
682	6684	3102
683	6692	3091
684	6700	3081
685	6707	3070
686	6716	3060
687	6724	3049
688	6732	3038
689	6741	3028
690	6749	3018
691	6756	3007
692	6764	2996
693	6772	2986
694	6779	2975
695	6788	2965
696	6798	2955
697	6813	2947
698	6822	2937
699	6829	2927
700	6837	2916
701	6845	2905
702	6853	2895
703	6860	2884
704	6868	2874
705	6876	2863
706	6887	2854
707	6895	2844
708	6903	2833
709	6911	2823
710	6918	2812
711	6926	2801
712	6933	2790
713	6940	2780
714	6950	2770
715	6957	2759
716	6966	2749
717	6974	2739
718	6982	2728
719	6989	2718
720	6998	2708
721	7013	2700
722	7021	2690
723	7030	2679
724	7038	2669
725	7045	2659
726	7052	2648
727	7060	2638
728	7067	2627
729	7074	2616
730	7082	2606
731	7090	2595
732	7099	2585
733	7106	2575
734	7115	2565
735	7123	2555
736	7131	2544
737	7138	2534
738	7146	2524
739	7154	2513
740	7161	2503
741	7169	2492
742	7177	2482
743	7185	2472
744	7194	2462
745	7211	2455
746	7221	2445
747	7230	2435
748	7238	2425
749	7245	2415
750	7253	2405
751	7261	2394
752	7268	2384
753	7276	2374
754	7284	2363
755	7293	2353
756	7301	2343
757	7308	2333
758	7317	2323
759	7324	2313
760	7333	2303
761	7340	2292
762	7348	2282
763	7356	2272
764	7364	2262
765	7372	2252
766	7380	2241
767	7387	2231
768	7394	2221
769	7402	2211
770	7413	2201
771	7426	2193
772	7436	2183
773	7443	2173
774	7452	2163
775	7460	2153
776	7467	2143
777	7475	2133
778	7483	2123
779	7491	2112
780	7499	2102
781	7507	2092
782	7514	2082
783	7522	2072
784	7530	2062
785	7538	2052
786	7546	2042
787	7554	2032
788	7562	2022
789	7568	2011
790	7576	2001
791	7584	1991
792	7591	1981
793	7599	1971
794	7606	1961
795	7621	1953
796	7632	1944
797	7640	1933
798	7648	1924
799	7655	1913
800	7663	1903
801	7671	1893
802	7678	1883
803	7686	1873
804	7694	1863
805	7703	1854
806	7711	1844
807	7719	1834
808	7727	1824
809	7735	1814
810	7742	1804
811	7750	1794
812	7758	1784
813	7766	1774
814	7774	1764
815	7782	1754
816	7790	1745
817	7798	1735
818	7806	1725
819	7813	1715
820	7827	1706
821	7839	1697
822	7848	1687
823	7856	1678
824	7864	1668
825	7872	1658
826	7880	1648
827	7888	1638
828	7896	1628
829	7905	1619
830	7916	1609
