iter	Passed	Remaining
0	40	40162
1	81	40620
2	115	38344
3	156	38955
4	176	35143
5	215	35764
6	231	32873
7	285	35405
8	309	34104
9	347	34363
10	378	34032
11	422	34807
12	471	35759
13	522	36830
14	567	37276
15	610	37562
16	638	36917
17	667	36428
18	708	36598
19	755	37004
20	797	37192
21	842	37444
22	885	37605
23	906	36877
24	951	37097
25	1002	37537
26	1044	37626
27	1096	38049
28	1145	38370
29	1192	38562
30	1239	38754
31	1283	38824
32	1323	38771
33	1374	39054
34	1421	39202
35	1472	39422
36	1524	39686
37	1574	39852
38	1624	40041
39	1675	40220
40	1722	40278
41	1764	40237
42	1808	40252
43	1852	40257
44	1899	40311
45	1940	40245
46	1984	40240
47	2031	40289
48	2064	40062
49	2115	40201
50	2166	40306
51	2209	40287
52	2251	40228
53	2293	40183
54	2325	39949
55	2370	39951
56	2416	39974
57	2458	39934
58	2497	39831
59	2546	39900
60	2589	39859
61	2634	39864
62	2672	39755
63	2716	39730
64	2736	39368
65	2785	39424
66	2824	39329
67	2866	39289
68	2910	39268
69	2956	39284
70	3012	39410
71	3058	39427
72	3130	39754
73	3221	40309
74	3302	40732
75	3350	40732
76	3390	40647
77	3401	40206
78	3444	40161
79	3487	40103
80	3524	39982
81	3592	40213
82	3791	41892
83	3838	41852
84	3887	41844
85	3934	41814
86	3982	41798
87	4030	41766
88	4049	41455
89	4098	41435
90	4145	41408
91	4235	41805
92	4343	42364
93	4393	42344
94	4424	42148
95	4475	42145
96	4515	42035
97	4560	41973
98	4606	41921
99	4646	41822
100	4700	41843
101	4745	41779
102	4786	41685
103	4834	41654
104	4868	41498
105	4885	41202
106	4951	41324
107	5006	41351
108	5066	41414
109	5122	41443
110	5182	41510
111	5225	41431
112	5270	41369
113	5308	41257
114	5352	41188
115	5402	41168
116	5448	41123
117	5489	41032
118	5535	40981
119	5578	40911
120	5629	40891
121	5705	41061
122	5795	41324
123	5853	41351
124	5899	41297
125	5945	41237
126	5987	41157
127	6031	41091
128	6081	41059
129	6132	41043
130	6234	41358
131	6300	41428
132	6345	41366
133	6375	41200
134	6417	41121
135	6456	41019
136	6508	41001
137	6568	41028
138	6659	41252
139	6750	41465
140	6816	41527
141	6879	41569
142	6920	41476
143	6997	41597
144	7103	41887
145	7160	41883
146	7218	41884
147	7253	41758
148	7299	41688
149	7340	41598
150	7383	41516
151	7406	41321
152	7497	41503
153	7574	41612
154	7624	41563
155	7662	41457
156	7706	41377
157	7755	41331
158	7802	41270
159	7846	41192
160	7864	40982
161	7920	40969
162	7976	40961
163	8024	40903
164	8071	40844
165	8113	40764
166	8162	40713
167	8189	40557
168	8209	40367
169	8264	40350
170	8324	40354
171	8384	40364
172	8442	40358
173	8490	40305
174	8532	40222
175	8580	40174
176	8613	40050
177	8660	39995
178	8707	39938
179	8755	39884
180	8795	39798
181	8850	39777
182	8897	39723
183	8938	39641
184	8995	39630
185	9078	39728
186	9155	39805
187	9228	39859
188	9273	39792
189	9351	39866
190	9409	39856
191	9460	39814
192	9518	39800
193	9572	39770
194	9643	39811
195	9713	39843
196	9776	39850
197	9800	39697
198	9849	39646
199	9903	39612
200	9947	39543
201	9988	39460
202	10035	39399
203	10086	39357
204	10130	39285
205	10177	39228
206	10225	39174
207	10273	39116
208	10318	39053
209	10339	38894
210	10396	38874
211	10456	38868
212	10483	38735
213	10549	38747
214	10604	38719
215	10657	38682
216	10704	38624
217	10746	38550
218	10791	38483
219	10838	38426
220	10888	38381
221	10940	38341
222	10985	38275
223	11026	38197
224	11066	38116
225	11110	38051
226	11162	38012
227	11213	37967
228	11260	37911
229	11308	37859
230	11353	37794
231	11403	37750
232	11467	37748
233	11512	37685
234	11554	37612
235	11598	37546
236	11648	37502
237	11708	37485
238	11752	37420
239	11800	37368
240	11846	37308
241	11896	37263
242	11925	37151
243	11970	37089
244	12018	37035
245	12062	36972
246	12115	36935
247	12161	36876
248	12207	36819
249	12253	36759
250	12300	36704
251	12348	36654
252	12395	36599
253	12440	36537
254	12484	36474
255	12522	36393
256	12572	36346
257	12617	36286
258	12663	36230
259	12706	36164
260	12724	36027
261	12750	35916
262	12801	35872
263	12846	35815
264	12891	35755
265	12939	35705
266	12984	35646
267	13033	35597
268	13080	35545
269	13120	35472
270	13163	35410
271	13207	35350
272	13258	35307
273	13308	35262
274	13357	35215
275	13383	35106
276	13428	35049
277	13479	35008
278	13526	34956
279	13570	34894
280	13619	34848
281	13634	34715
282	13687	34677
283	13737	34634
284	13779	34570
285	13824	34511
286	13872	34463
287	13924	34423
288	13965	34357
289	14005	34288
290	14037	34200
291	14083	34147
292	14131	34098
293	14175	34039
294	14218	33978
295	14262	33922
296	14309	33871
297	14356	33818
298	14402	33766
299	14451	33719
300	14495	33661
301	14542	33611
302	14588	33557
303	14629	33492
304	14669	33427
305	14715	33374
306	14773	33349
307	14817	33292
308	14859	33230
309	14902	33169
310	14945	33110
311	14982	33037
312	15007	32939
313	15041	32862
314	15088	32810
315	15133	32756
316	15172	32689
317	15213	32627
318	15265	32588
319	15311	32537
320	15349	32468
321	15379	32382
322	15423	32328
323	15481	32301
324	15524	32242
325	15564	32179
326	15605	32117
327	15651	32066
328	15666	31952
329	15713	31902
330	15744	31822
331	15764	31719
332	15811	31670
333	15854	31614
334	15895	31554
335	15941	31502
336	15985	31448
337	16022	31381
338	16066	31326
339	16113	31279
340	16160	31230
341	16212	31192
342	16256	31138
343	16297	31078
344	16344	31031
345	16380	30962
346	16429	30917
347	16484	30884
348	16533	30839
349	16592	30814
350	16653	30791
351	16698	30740
352	16744	30690
353	16787	30635
354	16836	30590
355	16882	30540
356	16931	30496
357	16989	30466
358	17058	30458
359	17100	30401
360	17140	30339
361	17178	30275
362	17229	30234
363	17285	30202
364	17341	30168
365	17382	30110
366	17427	30058
367	17473	30008
368	17525	29968
369	17573	29922
370	17626	29883
371	17689	29863
372	17729	29802
373	17775	29753
374	17823	29706
375	17877	29668
376	17917	29608
377	17959	29551
378	18014	29516
379	18062	29471
380	18101	29409
381	18143	29352
382	18186	29298
383	18233	29249
384	18274	29191
385	18314	29132
386	18361	29083
387	18408	29035
388	18459	28994
389	18510	28951
390	18557	28903
391	18601	28851
392	18642	28793
393	18697	28758
394	18769	28748
395	18821	28707
396	18866	28655
397	18919	28616
398	18963	28563
399	19005	28508
400	19054	28463
401	19101	28414
402	19160	28383
403	19214	28345
404	19261	28297
405	19306	28246
406	19352	28196
407	19415	28170
408	19485	28156
409	19545	28126
410	19596	28083
411	19656	28052
412	19720	28029
413	19776	27992
414	19837	27964
415	19911	27953
416	19972	27923
417	20037	27899
418	20097	27868
419	20162	27843
420	20212	27797
421	20268	27761
422	20312	27707
423	20365	27665
424	20426	27636
425	20478	27593
426	20623	27674
427	20687	27647
428	20743	27610
429	20800	27573
430	20851	27527
431	20896	27475
432	20951	27435
433	21006	27395
434	21062	27356
435	21102	27297
436	21143	27239
437	21192	27191
438	21237	27139
439	21290	27096
440	21335	27044
441	21410	27029
442	21515	27052
443	21595	27042
444	21672	27029
445	21751	27018
446	21854	27036
447	21927	27017
448	21995	26991
449	22048	26947
450	22135	26945
451	22225	26945
452	22269	26890
453	22327	26851
454	22372	26798
455	22418	26745
456	22464	26691
457	22509	26638
458	22553	26582
459	22598	26528
460	22639	26469
461	22684	26415
462	22731	26364
463	22772	26305
464	22810	26244
465	22858	26194
466	22910	26148
467	22955	26094
468	23005	26046
469	23055	25998
470	23099	25943
471	23144	25890
472	23190	25838
473	23234	25783
474	23274	25724
475	23317	25668
476	23366	25619
477	23411	25566
478	23459	25516
479	23495	25453
480	23540	25399
481	23584	25346
482	23622	25285
483	23668	25233
484	23713	25180
485	23761	25130
