,Lyrics,Show,Song Name
0,"Polly Darton by a country fence, looking over 13 carrots, laid out in a row) Polly Darton: Oh, hi there. My name is Polly Darton, and I'd like to sing a song for you, but I can't. The song I'd like to sing's called, ""14 Carrot Love"", but as you can see, I only have (slowly counting carrots) 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13 carrots. Mm-hmm. (Benny Rabbit, with a carrot in his mouth, hops by behind her, and then stops to look on) How can I sing a song about 14 carrot love, when I only have 13 carrots? (she notices Benny) Benny: Uh-oh. (tries to sneak away) Polly Darton: Look! Did you see that bunny with that carrot? (Benny stops, looking skyward, his escape foiled) I wonder if he'd let me borrow it. (calls) Here bunny, bunny, bunny! Benny: (spitting out the carrot) Hey! Don't call me Bunny! The name is Benny! Polly Darton: Well, I'm sorry, Benny. I was wondering if I could borrow that carrot there. Benny: (shocked) No! No way, no chance! No how! This is my carrot, and I gotta get downtown, so goodbye! (picks up carrot in his mouth again) Polly Darton: Oh please? You have one carrot and I have 13 carrots. (Benny puts carrot back down) If I add your carrot and my 13, I'll have (slowly counting carrots) 1, 2... Benny: Yeah yeah yeah... Polly Darton: ...3, 4... Benny: Come on, I gotta get downtown! Polly Darton: ...5, 6, 7, 8... Benny: Yeah yeah yeah... Polly Darton: ...9, 10, 11, 12, 13, 14 carrots. Benny: 14, yeah. Polly Darton: And I can sing my song. Benny: No, no way, forget it! Polly Darton: Aw, please? Don't do it for me - do it for the little children! Please? Benny: (Squeaks his teeth as he thinks about it) Oh, all right all right all right. You can borrow my carrot. But you have to give it back. And you can't, I say you can't nibble on it, okay? Polly Darton: Okay, okay. Thank you! Thank you, you - Benny: Yeah yeah yeah... Polly Darton: ...wonderful little bunny, you! Benny: (appalled) Don't call me Bunny! The name is BENNY!!! (music starts, she now sings) Polly Darton: These carrots from the garden
Are gathered as you see
In one great big bunch
As pretty as can be Benny: (unimpressed) Yeah... Polly Darton: The bunch has 13 carrots
But it only takes a shove (Benny starts getting into the beat) To add another carrot
And get 14 carrot love! 14 carrot love! (Benny starts squeaking his teeth in time to the music) 14 carrot love!
That is what we got here -
14 carrot love!
It's better than some flowers
Or candy on a ring (Benny's really getting into it) And it's all 'cause of you-ou
I have this song to sing Together: 14 carrot love!
14 carrot love!
That's what we got here -
14 carrot love! (music ends, but Benny keeps singing, leaning back on the fence) Benny: 14 carrot love! 14 carrot love! Polly Darton: (calling to him) Hey hey! Benny! Song's over, Benny! Benny: (still singing) That's what we've got here! 14 ca- (stops) Oh yeah yeah yeah, right right, well I gotta go anyway. Yeah yeah, I'm just gonna take my carrot here, and get outta here ... Polly Darton: Hey, hey you can have all those carrots, Benny. Just my way of sayin' thank you. Benny: (blown away) Oh! Oh gee, well, um ... but I don't know what to say! Polly Darton: Aw, you know he really is a sweet little bunny! Benny: (shouting) Don't call me Bunny! The name is Benny! (squeaks his teeth as last notes of the song replay)",Sesame Street,Sesame Street 14 Carrot Love lyrics
1,"Voice #1: I heard a bark. Go out and see what it is.
Voice #2: A bark?
Voice #1: Go on and see.
Voice #2: Okay, but it's awfully dark out here.
(There might be a line here I don't recall. We see the light from a flashlight shining around. Suddenly, the sound of knocking into something is heard.)
Voice #1: What happened? I heard a bump.
Voice #2: Oh, it's just me. I tripped over that broken chair.
Voice #1: An old broken chair? Can't you take that to the dump?
Voice #2: Not in the dark, I can't. Now leave me alone! (Pause. Light shines around.) Sure is dark out here ... (Pause.) Wait a minute? Did you hear a little, tiny bark?
Voice #1: No, I didn't hear a bark.
Voice #2: Well, I was sure I heard a ...
Voice #3: Bark!
Voices #1 and #2: YEEEOOOWWW!
(Light shines on the owner of the third voice --a spotted brown puppy.)
Puppy: Can you give me directions to the park? Rrruff!",Sesame Street,Sesame Street A Bark In The Dark lyrics
2,"Did you ever wanna see what the birdies see?
Well I do!
Did you ever wanna see what the birdies see?
Well I do!
Birdies see from way up high
Because they hang out in the sky
Things sure look different, my-oh-my
When you see with a birdie's eye (the video is shown and the game is played) Things sure look different, my-oh-my
When you see with a birdie's eye",Sesame Street,Sesame Street A Birdie's Eye lyrics
3,"There's a brand new baby at Almariz's house
There's a brand new baby at Almariz's house
There's a brand new baby at Almariz's house
A baby in her family Now babies are very special
They need lots of love and care
But Almi is older and bigger
And she is special too Spoken: I'm a big sister!
You are a big sister.",Sesame Street,Sesame Street A Brand New Baby lyrics
4,"Okay everybody, I'm gonna tell you about some birthday parties I've been to
And when I get to the ""Happy Birthday"" part, well,
I want you to say ""Happy Birthday"" the same way the animals said it at the party
Here we go! A cat had a birthday and all the cats came
To eat cat cake and play a cat game
To open cat presents and when they were through
They said ""Happy Birthday"" the way cats do And they said, ""Meow, meow, meow""
Everybody do it now, ""Meow, meow, meow""
Really nothing to it, ""Meow, meow, meow""
Well image that, you've just said ""Happy Birthday"" in cat
That's what you did! A duck had a birthday and all the ducks came
To eat duck cake and play a duck game
To open duck presents and when they were through
They said ""Happy Birthday"" the way that ducks do And they said, ""Quack, quack, quack""
Everybody do it now, ""Quack, quack, quack""
Really nothing to it, ""Quack, quack, quack""
Well the ducks are in luck, you've just said ""Happy Birthday"" in duck Now when a rooster wants to say ""Happy Birthday"" to you
He says, ""Cock-a-doodle, cock-a-doodle-do""
Now listen real close and I'll tell you more
""Happy Birthday"" to a lion is a great big ""ROAR"", nice A cow had a birthday and all the cows came
To eat cow cake and play a cow game
To open cow presents and when they were through
They said ""Happy Birthday"" the way cows do And they said, ""Moo, moo, moo""
Everybody do it now, ""Moo, moo, moo""
Really nothing to it, ""Moo, moo, moo""
Well you just learned how to say ""Happy Birthday"" in cow Where's the cats? (meow, meow, meow)
Let's hear the ducks! (quack, quack, quack)
Do it rooster! (cock-a-doodle-do)
What's up lion? (ROAR)
Word cows! (moo, moo, moo) You were really great, I'm proud of ya, ""Happy Birthday""!",Sesame Street,Sesame Street A Cat Had A Birthday lyrics
5,"A face can be up
A face can be down
A face can be as funny as the face of a clown A face can show just how you feel inside
When your eyes open up
And your smile opens wide Your eyes could be brown
Your eyes could be blue
But there's never ever any other face just like you When you're sad or crying
And you don't know what to do--
Somebody's face can happen along
And smile the sunshine back into you A face can show just how you feel inside
When your eyes open up
And your smile opens wide Your eyes could be brown
(Or) Your eyes could be blue
But there's never ever any other face just like you When you're sad or crying
And you don't know what to do--
Somebody's face can happen along
And smile the sunshine back into you",Sesame Street,Sesame Street A Face lyrics
6,"Olivia: In the winter, springtime, and fall ...
In the summertime, I call you a friend for all seasons.
A friend, so many reasons why I like to be with you.
Just like nature, we change, too. (Here, I think David sings something, then repeats what Olivia sang) David and Olivia: Winter, spring, summer, fall.
I wanna spend 'em all with you. Olivia: My friend! David and Olivia: Winter, spring, summer, fall.
I wanna spend 'em all with you. Olivia: My friend! David and Olivia: Winter, spring, summer, fall.
I wanna spend 'em all with you. Olivia: My friend! David and Olivia: Winter, spring, summer, fall.
I wanna spend 'em all with you. Olivia: Winter is cold, the ice and the snow. David: Springtime is warm; we watch the flowers grow. Olivia: And the hot sun of summer makes us throw away our cares. David: Autumn leaves ... (maybe something about frosty air?)",Sesame Street,Sesame Street A Friend For All Seasons lyrics
7,"Be kind to the river
Be good to the trees
Smile at the sunshine
And bow to the breeze
Say ""thanks for the perfume""
Of every flower you sniff
What a world
What a place
What a gift Respect the deer and buffalo
The lion and tiger too
Be kind to dogs and pussycats
And they'll be kind to you
Take care of the forest
And fish in the sea
Look after the beetle
The ant and the bee
Say ""thanks for the raindrops""
And all the clouds that drift
They're for you
They're for me
They're a gift They're for you
They're for me
They're for everyone
They're a gift",Sesame Street,Sesame Street A Gift lyrics
8,"Henry: There's a hole in the bucket, dear Liza, dear Liza,
There's a hole in the bucket, dear Liza, a hole. Liza: So fix it dear Henry, dear Henry, dear Henry,
So fix it dear Henry, dear Henry, fix it. H: With what should I fix it, dear Liza, dear Liza,
With what should I fix it, dear Liza, with what? L: With a stick, dear Henry, dear Henry, dear Henry,
With a stick, dear Henry, dear Henry, with a stick. H: But the stick is too big, dear Liza, dear Liza,
The stick is too big, dear Liza, too big. L: So cut it dear Henry, dear Henry, dear Henry,
So cut it dear Henry, dear Henry, cut it! H: With what should I cut it, dear Liza, dear Liza,
With what should I cut it, dear Liza, with what? L: Use the hatchet, dear Henry, dear Henry, dear Henry,
Use the hatchet, dear Henry, the hatchet. H: But the hatchet's too dull, dear Liza, dear Liza,
The hatchet's too dull, dear Liza, too dull. L: So, sharpen it, dear Henry, dear Henry, dear Henry,
So sharpen it dear Henry, dear Henry, sharpen it! H: With what should I sharpen it, dear Liza, dear Liza,
With what should I sharpen, dear Liza, with what? L: Use the stone, dear Henry, dear Henry, dear Henry,
Use the stone, dear Henry, dear Henry, THE STONE!!!! H: But the stone is too dry, dear Liza, dear Liza,
The stone is too dry, dear Liza, too dry. L: So wet it, dear Henry, dear Henry, dear Henry,
So wet it dear Henry, dear Henry, WET IT! H: With what should I wet it, dear Liza, dear Liza,
With what should I wet it, dear Liza, with what? L: (moves her rocking chair over to Henry and sings fast)
With water, dear Henry, dear Henry, dear Henry,
With water, dear Henry, dear Henry, WATER!!!!! H: With what should I carry it, dear Liza, dear Liza,
With what should I carry it dear Liza, with what? L: (crying)
Use the bucket dear Henry, dear Henry, dear Henry,
Use the bucket, dear Henry, dear Henry, the bucket! H: Uh, Liza????
There's a hole in the bucket, dear Liza, dear Liza,
There's a hole in the bucket, dear Liza, a hole. At this point Liza takes the chair and goes off to live with her mother which is probably what Henry wanted in the first place! ** The original version has the bucket to be thatched with hay that ends up being too long and needs to be cut with a knife that ends up being too dull instead of the Sesame Street version that replaces this with plugging the hole with a stick that needs to be cut down because it is too big, but the hatchet ends up being too dull to do the work.",Sesame Street,Sesame Street A Hole In The Bucket lyrics
9,"A girl named Dinah lived in South Carolina
She wrote a letter to a friend in China Dear Ling Lu,
How are you?
I love my bike.
Love, Dinah The letter went out in the afternoon mail
It went by truck, it went by rail
It was a loaded on a boat on its way to China
All the way from South Carolina
When the letter got to China it was loaded on a van
And a man took the letter to Ling Lu San
Ling Lu wrote a letter back to Dinah
And sent it off to South Carolina Dear Dinah,
How are you?
I like my bike but I love egg drop soup (giggles).
Love, Ling Lu Ling Lu's letter came by ocean liner
And Dinah thought Ling's letter couldn't be finer",Sesame Street,Sesame Street A Letter To Ling Lu lyrics
